,time,object_1,object_2
0,0.0,"[282.0, 257.0, 10.0, 364.0]","[34.0, 27.0, 28.0, 22.0]"
1,0.033333,"[281.666666666667, 257.611111111112, 13.6666666666667, 363.722222222222]","[34.1111111111111, 27.0555555555555, 28.0, 22.0]"
2,0.066667,"[281.333333333333, 258.222222222223, 17.3333333333333, 363.444444444444]","[34.2222222222222, 27.1111111111111, 28.0, 22.0]"
3,0.1,"[281.0, 258.833333333334, 21.0, 363.166666666667]","[34.3333333333333, 27.1666666666666, 28.0, 22.0]"
4,0.13333,"[280.666666666667, 259.444444444445, 24.6666666666667, 362.888888888889]","[34.4444444444444, 27.2222222222222, 28.0, 22.0]"
5,0.16667,"[280.333333333333, 260.055555555556, 28.3333333333333, 362.611111111111]","[34.5555555555555, 27.2777777777778, 28.0, 22.0]"
6,0.2,"[280.0, 260.666666666667, 32.0, 362.333333333333]","[34.6666666666667, 27.3333333333333, 28.0, 22.0]"
7,0.23333,"[279.666666666667, 261.277777777778, 35.6666666666667, 362.055555555555]","[34.7777777777778, 27.3888888888889, 28.0, 22.0]"
8,0.26667,"[279.333333333333, 261.888888888889, 39.3333333333333, 361.777777777778]","[34.8888888888889, 27.4444444444444, 28.0, 22.0]"
9,0.3,"[279.0, 262.5, 43.0, 361.5]","[35.0, 27.5, 28.0, 22.0]"
10,0.33333,"[279.166666666666, 263.111111111111, 47.25, 361.222222222222]","[34.8333333333333, 27.5555555555555, 28.1666666666667, 22.0]"
11,0.36667,"[279.333333333333, 263.722222222222, 51.5, 360.944444444444]","[34.6666666666666, 27.6111111111111, 28.3333333333333, 22.0]"
12,0.4,"[279.5, 264.333333333333, 55.75, 360.666666666667]","[34.5, 27.6666666666667, 28.5, 22.0]"
13,0.43333,"[279.666666666667, 264.944444444445, 60.0, 360.388888888889]","[34.3333333333333, 27.7222222222222, 28.6666666666667, 22.0]"
14,0.46667,"[279.833333333333, 265.555555555556, 64.25, 360.111111111111]","[34.1666666666667, 27.7777777777778, 28.8333333333333, 22.0]"
15,0.5,"[280.0, 266.166666666667, 68.5, 359.833333333333]","[34.0, 27.8333333333333, 29.0, 22.0]"
16,0.53333,"[280.166666666667, 266.777777777778, 72.75, 359.555555555556]","[33.8333333333333, 27.8888888888889, 29.1666666666667, 22.0]"
17,0.56667,"[280.333333333333, 267.388888888889, 77.0, 359.277777777778]","[33.6666666666667, 27.9444444444444, 29.3333333333333, 22.0]"
18,0.6,"[280.5, 268.0, 81.25, 359.0]","[33.5, 28.0, 29.5, 22.0]"
19,0.63333,"[280.666666666667, 268.69999937, 85.5, 358.70000027]","[33.3333333333333, 27.70000027, 29.6666666666667, 22.19999982]"
20,0.66667,"[280.833333333333, 269.39999944, 89.75, 358.40000024]","[33.1666666666667, 27.40000024, 29.8333333333333, 22.39999984]"
21,0.7,"[281.0, 270.09999951, 94.0, 358.10000021]","[33.0, 27.10000021, 30.0, 22.59999986]"
22,0.73333,"[281.7499986875, 270.79999958, 98.2499925624982, 357.80000018]","[32.5000008750002, 26.80000018, 30.2499995624999, 22.79999988]"
23,0.76667,"[282.499998875, 271.49999965, 102.499993624998, 357.50000015]","[32.0000007500002, 26.50000015, 30.4999996249999, 22.9999999]"
24,0.8,"[283.2499990625, 272.19999972, 106.749994687499, 357.20000012]","[31.5000006250002, 26.20000012, 30.7499996874999, 23.19999992]"
25,0.83333,"[283.99999925, 272.89999979, 110.999995749999, 356.90000009]","[31.0000005000001, 25.90000009, 30.9999997499999, 23.39999994]"
26,0.86667,"[284.7499994375, 273.59999986, 115.249996812499, 356.60000006]","[30.5000003750001, 25.60000006, 31.2499998125, 23.59999996]"
27,0.9,"[285.499999625, 274.29999993, 119.499997874999, 356.30000003]","[30.0000002500001, 25.30000003, 31.499999875, 23.79999998]"
28,0.93333,"[286.2499998125, 275.0, 123.7499989375, 356.0]","[29.500000125, 25.0, 31.7499999375, 24.0]"
29,0.96667,"[287.0, 275.375000328125, 128.0, 355.4999995625]","[29.0, 25.125000109375, 32.0, 23.74999978125]"
30,1.0,"[287.428572163265, 275.75000028125, 132.142864244896, 354.999999625]","[29.4285721632651, 25.25000009375, 31.7142852244899, 23.4999998125]"
31,1.0333,"[287.857143469388, 276.125000234375, 136.28572020408, 354.4999996875]","[29.8571434693876, 25.375000078125, 31.4285710204083, 23.24999984375]"
32,1.0667,"[288.28571477551, 276.5000001875, 140.428576163264, 353.99999975]","[30.2857147755101, 25.5000000625, 31.1428568163266, 22.999999875]"
33,1.1,"[288.714286081633, 276.875000140625, 144.571432122448, 353.4999998125]","[30.7142860816325, 25.625000046875, 30.857142612245, 22.74999990625]"
34,1.1333,"[289.142857387755, 277.25000009375, 148.714288081632, 352.999999875]","[31.142857387755, 25.75000003125, 30.5714284081633, 22.4999999375]"
35,1.1667,"[289.571428693878, 277.625000046875, 152.857144040816, 352.4999999375]","[31.5714286938775, 25.875000015625, 30.2857142040817, 22.24999996875]"
36,1.2,"[290.0, 278.0, 157.0, 352.0]","[32.0, 26.0, 30.0, 22.0]"
37,1.2333,"[291.142856163265, 277.555555555556, 161.714281673469, 351.333333333333]","[31.7142859591837, 26.0, 29.2857148979593, 22.3333333333333]"
38,1.2667,"[292.285713469388, 277.111111111111, 166.428568061224, 350.666666666667]","[31.4285716326531, 26.0, 28.5714290816327, 22.6666666666667]"
39,1.3,"[293.42857077551, 276.666666666667, 171.142854448979, 350.0]","[31.1428573061225, 26.0, 27.8571432653062, 23.0]"
40,1.3333,"[294.571428081633, 276.222222222222, 175.857140836734, 349.333333333333]","[30.8571429795918, 26.0, 27.1428574489796, 23.3333333333333]"
41,1.3667,"[295.714285387755, 275.777777777778, 180.57142722449, 348.666666666667]","[30.5714286530612, 26.0, 26.4285716326531, 23.6666666666667]"
42,1.4,"[296.857142693878, 275.333333333333, 185.285713612245, 348.0]","[30.2857143265306, 26.0, 25.7142858163265, 24.0]"
43,1.4333,"[298.0, 274.888888888889, 190.0, 347.333333333333]","[30.0, 26.0, 25.0, 24.3333333333333]"
44,1.4667,"[299.636365123967, 274.444444444444, 192.363638512397, 346.666666666667]","[30.1818183471074, 26.0, 25.1818183471074, 24.6666666666667]"
45,1.5,"[301.27272861157, 274.0, 194.727274661157, 346.0]","[30.3636365123967, 26.0, 25.3636365123967, 25.0]"
46,1.5333,"[302.909092099173, 273.2500013125, 197.090910809917, 346.0]","[30.5454546776859, 25.3750010937503, 25.5454546776859, 24.7500004375001]"
47,1.5667,"[304.545455586777, 272.500001125, 199.454546958678, 346.0]","[30.7272728429752, 24.7500009375002, 25.7272728429752, 24.5000003750001]"
48,1.6,"[306.18181907438, 271.7500009375, 201.818183107438, 346.0]","[30.9090910082645, 24.1250007812502, 25.9090910082645, 24.2500003125001]"
49,1.6333,"[307.818182561983, 271.00000075, 204.181819256198, 346.0]","[31.0909091735537, 23.5000006250002, 26.0909091735537, 24.0000002500001]"
50,1.6667,"[309.454546049587, 270.2500005625, 206.545455404959, 346.0]","[31.272727338843, 22.8750004687501, 26.272727338843, 23.7500001875]"
51,1.7,"[311.09090953719, 269.500000375, 208.909091553719, 346.0]","[31.4545455041322, 22.2500003125001, 26.4545455041322, 23.500000125]"
52,1.7333,"[312.727273024793, 268.7500001875, 211.272727702479, 346.0]","[31.6363636694215, 21.62500015625, 26.6363636694215, 23.2500000625]"
53,1.7667,"[314.363636512397, 268.0, 213.63636385124, 346.0]","[31.8181818347107, 21.0, 26.8181818347107, 23.0]"
54,1.8,"[316.0, 266.24999846875, 216.0, 345.4999995625]","[32.0, 21.375000328125, 27.0, 23.0]"
55,1.8333,"[317.333333333333, 264.4999986875, 217.0, 344.999999625]","[32.6666666666667, 21.75000028125, 26.6666666666667, 23.0]"
56,1.8667,"[318.666666666667, 262.74999890625, 218.0, 344.4999996875]","[33.3333333333333, 22.125000234375, 26.3333333333333, 23.0]"
57,1.9,"[320.0, 260.999999125, 219.0, 343.99999975]","[34.0, 22.5000001875, 26.0, 23.0]"
58,1.9333,"[321.333333333333, 259.24999934375, 220.0, 343.4999998125]","[34.6666666666667, 22.875000140625, 25.6666666666667, 23.0]"
59,1.9667,"[322.666666666667, 257.4999995625, 221.0, 342.999999875]","[35.3333333333333, 23.25000009375, 25.3333333333333, 23.0]"
60,2.0,"[324.0, 255.74999978125, 222.0, 342.4999999375]","[36.0, 23.625000046875, 25.0, 23.0]"
61,2.0333,"[325.333333333333, 254.0, 223.0, 342.0]","[36.6666666666667, 24.0, 24.6666666666667, 23.0]"
62,2.0667,"[326.666666666667, 251.5, 224.0, 341.333333333333]","[37.3333333333333, 24.3333333333333, 24.3333333333333, 23.3333333333333]"
63,2.1,"[328.0, 249.0, 225.0, 340.666666666667]","[38.0, 24.6666666666667, 24.0, 23.6666666666667]"
64,2.1333,"[329.818178512396, 246.5, 224.636364297521, 340.0]","[37.545455371901, 25.0, 24.0909089256198, 24.0]"
65,2.1667,"[331.636360661156, 244.0, 224.272727867769, 339.333333333333]","[37.0909098347109, 25.3333333333333, 24.1818180330578, 24.3333333333333]"
66,2.2,"[333.454542809917, 241.5, 223.909091438017, 338.666666666667]","[36.6363642975208, 25.6666666666667, 24.2727271404958, 24.6666666666667]"
67,2.2333,"[335.272724958677, 239.0, 223.545455008265, 338.0]","[36.1818187603307, 26.0, 24.3636362479339, 25.0]"
68,2.2667,"[337.090907107438, 237.714286816327, 223.181818578513, 337.857142979592]","[35.7272732231406, 25.7142859591837, 24.4545453553719, 24.4285719183674]"
69,2.3,"[338.909089256198, 236.428572346939, 222.81818214876, 337.714285816327]","[35.2727276859505, 25.4285716326531, 24.5454544628099, 23.8571432653062]"
70,2.3333,"[340.727271404958, 235.142857877551, 222.454545719008, 337.571428653061]","[34.8181821487604, 25.1428573061225, 24.6363635702479, 23.2857146122449]"
71,2.3667,"[342.545453553719, 233.857143408163, 222.090909289256, 337.428571489796]","[34.3636366115703, 24.8571429795918, 24.7272726776859, 22.7142859591837]"
72,2.4,"[344.363635702479, 232.571428938776, 221.727272859504, 337.285714326531]","[33.9090910743802, 24.5714286530612, 24.818181785124, 22.1428573061225]"
73,2.4333,"[346.18181785124, 231.285714469388, 221.363636429752, 337.142857163265]","[33.4545455371901, 24.2857143265306, 24.909090892562, 21.5714286530612]"
74,2.4667,"[348.0, 230.0, 221.0, 337.0]","[33.0, 24.0, 25.0, 21.0]"
75,2.5,"[348.3500003325, 228.74999890625, 220.0499990975, 336.24999934375]","[32.8499998575, 24.125000109375, 25.0500000475, 21.5000004374999]"
76,2.5333,"[348.700000315, 227.4999990625, 219.099999145, 335.4999994375]","[32.699999865, 24.25000009375, 25.100000045, 22.000000375]"
77,2.5667,"[349.0500002975, 226.24999921875, 218.1499991925, 334.74999953125]","[32.5499998725, 24.375000078125, 25.1500000425, 22.5000003125]"
78,2.6,"[349.40000028, 224.999999375, 217.19999924, 333.999999625]","[32.39999988, 24.5000000625, 25.20000004, 23.00000025]"
79,2.6333,"[349.7500002625, 223.74999953125, 216.2499992875, 333.24999971875]","[32.2499998875, 24.625000046875, 25.2500000375, 23.5000001875]"
80,2.6667,"[350.100000245, 222.4999996875, 215.299999335, 332.4999998125]","[32.099999895, 24.75000003125, 25.300000035, 24.000000125]"
81,2.7,"[350.4500002275, 221.24999984375, 214.3499993825, 331.74999990625]","[31.9499999025, 24.875000015625, 25.3500000325, 24.5000000625]"
82,2.7333,"[350.80000021, 220.0, 213.39999943, 331.0]","[31.79999991, 25.0, 25.40000003, 25.0]"
83,2.7667,"[351.1500001925, 219.24999934375, 212.4499994775, 330.4999995625]","[31.6499999175, 24.624999671875, 25.4500000275, 24.74999978125]"
84,2.8,"[351.500000175, 218.4999994375, 211.499999525, 329.999999625]","[31.499999925, 24.24999971875, 25.500000025, 24.4999998125]"
85,2.8333,"[351.8500001575, 217.74999953125, 210.5499995725, 329.4999996875]","[31.3499999325, 23.874999765625, 25.5500000225, 24.24999984375]"
86,2.8667,"[352.20000014, 216.999999625, 209.59999962, 328.99999975]","[31.19999994, 23.4999998125, 25.60000002, 23.999999875]"
87,2.9,"[352.5500001225, 216.24999971875, 208.6499996675, 328.4999998125]","[31.0499999475, 23.124999859375, 25.6500000175, 23.74999990625]"
88,2.9333,"[352.900000105, 215.4999998125, 207.699999715, 327.999999875]","[30.899999955, 22.74999990625, 25.700000015, 23.4999999375]"
89,2.9667,"[353.2500000875, 214.74999990625, 206.7499997625, 327.4999999375]","[30.7499999625, 22.374999953125, 25.7500000125, 23.24999996875]"
90,3.0,"[353.60000007, 214.0, 205.79999981, 327.0]","[30.59999997, 22.0, 25.80000001, 23.0]"
91,3.0333,"[353.9500000525, 213.428571918367, 204.8499998575, 326.428571918367]","[30.4499999775, 22.5714280816326, 25.8500000075, 23.1428570204082]"
92,3.0667,"[354.300000035, 212.857143265306, 203.899999905, 325.857143265306]","[30.299999985, 23.1428567346938, 25.900000005, 23.2857141836735]"
93,3.1,"[354.6500000175, 212.285714612245, 202.9499999525, 325.285714612245]","[30.1499999925, 23.7142853877551, 25.9500000025, 23.4285713469388]"
94,3.1333,"[355.0, 211.714285959184, 202.0, 324.714285959184]","[30.0, 24.2857140408163, 26.0, 23.5714285102041]"
95,3.1667,"[354.499999535715, 211.142857306122, 200.928570433673, 324.142857306122]","[29.9285713622449, 24.8571426938775, 26.3571431887755, 23.7142856734694]"
96,3.2,"[353.999999571429, 210.571428653061, 199.857141938775, 323.571428653061]","[29.8571427959184, 25.4285713469388, 26.7142860204082, 23.8571428367347]"
97,3.2333,"[353.499999607143, 210.0, 198.785713443878, 323.0]","[29.7857142295918, 26.0, 27.0714288520408, 24.0]"
98,3.2667,"[352.999999642857, 210.125000109375, 197.71428494898, 322.374999453125]","[29.7142856632653, 26.125000109375, 27.4285716836735, 24.25000021875]"
99,3.3,"[352.499999678572, 210.25000009375, 196.642856454082, 321.74999953125]","[29.6428570969388, 26.25000009375, 27.7857145153061, 24.5000001875]"
100,3.3333,"[351.999999714286, 210.375000078125, 195.571427959184, 321.124999609375]","[29.5714285306123, 26.375000078125, 28.1428573469388, 24.75000015625]"
101,3.3667,"[351.49999975, 210.5000000625, 194.499999464286, 320.4999996875]","[29.4999999642857, 26.5000000625, 28.5000001785714, 25.000000125]"
102,3.4,"[350.999999785714, 210.625000046875, 193.428570969388, 319.874999765625]","[29.4285713979592, 26.625000046875, 28.8571430102041, 25.25000009375]"
103,3.4333,"[350.499999821429, 210.75000003125, 192.35714247449, 319.24999984375]","[29.3571428316327, 26.75000003125, 29.2142858418367, 25.5000000625]"
104,3.4667,"[349.999999857143, 210.875000015625, 191.285713979592, 318.624999921875]","[29.2857142653061, 26.875000015625, 29.5714286734694, 25.75000003125]"
105,3.5,"[349.499999892857, 211.0, 190.214285484694, 318.0]","[29.2142856989796, 27.0, 29.928571505102, 26.0]"
106,3.5333,"[348.999999928571, 212.0, 189.142856989796, 317.333333333333]","[29.1428571326531, 26.0, 30.2857143367347, 25.5]"
107,3.5667,"[348.499999964286, 213.0, 188.071428494898, 316.666666666667]","[29.0714285663265, 25.0, 30.6428571683673, 25.0]"
108,3.6,"[348.0, 214.0, 187.0, 316.0]","[29.0, 24.0, 31.0, 24.5]"
109,3.6333,"[348.23529367474, 215.0, 186.235295557094, 315.333333333333]","[28.9411765813149, 23.0, 30.7058829065745, 24.0]"
110,3.6667,"[348.470587820069, 216.0, 185.470589584775, 314.666666666667]","[28.8823530449827, 22.0, 30.4117652249136, 23.5]"
111,3.7,"[348.705881965398, 217.0, 184.705883612457, 314.0]","[28.8235295086505, 21.0, 30.1176475432527, 23.0]"
112,3.7333,"[348.941176110726, 217.19999968, 183.941177640139, 312.800001920001]","[28.7647059723183, 22.7999971199988, 29.8235298615917, 24.3999977599991]"
113,3.7667,"[349.176470256055, 217.39999976, 183.17647166782, 311.600001440001]","[28.7058824359862, 24.5999978399991, 29.5294121799308, 25.7999983199993]"
114,3.8,"[349.411764401384, 217.59999984, 182.411765695502, 310.40000096]","[28.647058899654, 26.3999985599994, 29.2352944982699, 27.1999988799995]"
115,3.8333,"[349.647058546713, 217.79999992, 181.647059723184, 309.20000048]","[28.5882353633218, 28.1999992799997, 28.941176816609, 28.5999994399998]"
116,3.8667,"[349.882352692041, 218.0, 180.882353750865, 308.0]","[28.5294118269896, 30.0, 28.6470591349481, 30.0]"
117,3.9,"[350.11764683737, 219.5000027, 180.117647778547, 309.0000018]","[28.4705882906574, 29.2999987400002, 28.3529414532872, 29.1999985600003]"
118,3.9333,"[350.352940982699, 221.0000024, 179.352941806228, 310.0000016]","[28.4117647543253, 28.5999988800002, 28.0588237716263, 28.3999987200002]"
119,3.9667,"[350.588235128028, 222.5000021, 178.58823583391, 311.0000014]","[28.3529412179931, 27.8999990200002, 27.7647060899654, 27.5999988800002]"
120,4.0,"[350.823529273356, 224.0000018, 177.823529861592, 312.0000012]","[28.2941176816609, 27.1999991600002, 27.4705884083045, 26.7999990400002]"
121,4.0333,"[351.058823418685, 225.5000015, 177.058823889273, 313.000001]","[28.2352941453287, 26.4999993000001, 27.1764707266436, 25.9999992000002]"
122,4.0667,"[351.294117564014, 227.0000012, 176.294117916955, 314.0000008]","[28.1764706089965, 25.7999994400001, 26.8823530449827, 25.1999993600001]"
123,4.1,"[351.529411709343, 228.5000009, 175.529411944637, 315.0000006]","[28.1176470726644, 25.0999995800001, 26.5882353633218, 24.3999995200001]"
124,4.1333,"[351.764705854671, 230.0000006, 174.764705972318, 316.0000004]","[28.0588235363322, 24.3999997200001, 26.2941176816609, 23.5999996800001]"
125,4.1667,"[352.0, 231.5000003, 174.0, 317.0000002]","[28.0, 23.69999986, 26.0, 22.79999984]"
126,4.2,"[352.75, 233.0, 173.083333333333, 318.0]","[28.4166666666667, 23.0, 26.0833333333333, 22.0]"
127,4.2333,"[353.5, 234.0, 172.166666666667, 319.555555555556]","[28.8333333333333, 23.4444444444444, 26.1666666666667, 22.2222222222222]"
128,4.2667,"[354.25, 235.0, 171.25, 321.111111111111]","[29.25, 23.8888888888889, 26.25, 22.4444444444444]"
129,4.3,"[355.0, 236.0, 170.333333333333, 322.666666666667]","[29.6666666666667, 24.3333333333333, 26.3333333333333, 22.6666666666667]"
130,4.3333,"[355.75, 237.0, 169.416666666667, 324.222222222222]","[30.0833333333333, 24.7777777777778, 26.4166666666667, 22.8888888888889]"
131,4.3667,"[356.5, 238.0, 168.5, 325.777777777778]","[30.5, 25.2222222222222, 26.5, 23.1111111111111]"
132,4.4,"[357.25, 239.0, 167.583333333333, 327.333333333333]","[30.9166666666667, 25.6666666666667, 26.5833333333333, 23.3333333333333]"
133,4.4333,"[358.0, 240.0, 166.666666666667, 328.888888888889]","[31.3333333333333, 26.1111111111111, 26.6666666666667, 23.5555555555556]"
134,4.4667,"[358.75, 241.0, 165.75, 330.444444444444]","[31.75, 26.5555555555556, 26.75, 23.7777777777778]"
135,4.5,"[359.5, 242.0, 164.833333333333, 332.0]","[32.1666666666667, 27.0, 26.8333333333333, 24.0]"
136,4.5333,"[360.25, 242.777777777778, 163.916666666667, 334.222222222222]","[32.5833333333333, 26.8888888888889, 26.9166666666667, 24.3333333333333]"
137,4.5667,"[361.0, 243.555555555556, 163.0, 336.444444444444]","[33.0, 26.7777777777778, 27.0, 24.6666666666667]"
138,4.6,"[362.038462536983, 244.333333333333, 162.576922670118, 338.666666666667]","[32.8461536982249, 26.6666666666667, 26.8461536982249, 25.0]"
139,4.6333,"[363.076924035503, 245.111111111111, 162.153845763314, 340.888888888889]","[32.6923075502959, 26.5555555555556, 26.6923075502959, 25.3333333333333]"
140,4.6667,"[364.115385534024, 245.888888888889, 161.730768856509, 343.111111111111]","[32.5384614023669, 26.4444444444444, 26.5384614023669, 25.6666666666667]"
141,4.7,"[365.153847032545, 246.666666666667, 161.307691949704, 345.333333333333]","[32.3846152544379, 26.3333333333333, 26.3846152544379, 26.0]"
142,4.7333,"[366.192308531066, 247.444444444444, 160.884615042899, 347.555555555556]","[32.2307691065089, 26.2222222222222, 26.2307691065089, 26.3333333333333]"
143,4.7667,"[367.230770029586, 248.222222222222, 160.461538136095, 349.777777777778]","[32.0769229585799, 26.1111111111111, 26.0769229585799, 26.6666666666667]"
144,4.8,"[368.269231528107, 249.0, 160.03846122929, 352.0]","[31.9230768106509, 26.0, 25.9230768106509, 27.0]"
145,4.8333,"[369.307693026628, 249.49999955, 159.615384322485, 354.19999802]","[31.7692306627219, 25.50000045, 25.7692306627219, 26.2000007200001]"
146,4.8667,"[370.346154525148, 249.9999996, 159.192307415681, 356.39999824]","[31.6153845147929, 25.0000004, 25.6153845147929, 25.4000006400001]"
147,4.9,"[371.384616023669, 250.49999965, 158.769230508876, 358.59999846]","[31.4615383668639, 24.50000035, 25.4615383668639, 24.6000005600001]"
148,4.9333,"[372.42307752219, 250.9999997, 158.346153602071, 360.79999868]","[31.3076922189349, 24.0000003, 25.3076922189349, 23.80000048]"
149,4.9667,"[373.46153902071, 251.49999975, 157.923076695266, 362.9999989]","[31.1538460710059, 23.50000025, 25.1538460710059, 23.0000004]"
150,5.0,"[374.500000519231, 251.9999998, 157.499999788462, 365.19999912]","[30.9999999230769, 23.0000002, 24.9999999230769, 22.20000032]"
151,5.0333,"[375.538462017752, 252.49999985, 157.076922881657, 367.39999934]","[30.8461537751479, 22.50000015, 24.8461537751479, 21.40000024]"
152,5.0667,"[376.576923516272, 252.9999999, 156.653845974852, 369.59999956]","[30.6923076272189, 22.0000001, 24.6923076272189, 20.60000016]"
153,5.1,"[377.615385014793, 253.49999995, 156.230769068047, 371.79999978]","[30.5384614792899, 21.50000005, 24.5384614792899, 19.80000008]"
154,5.1333,"[378.653846513314, 254.0, 155.807692161243, 374.0]","[30.384615331361, 21.0, 24.384615331361, 19.0]"
155,5.1667,"[379.692308011834, 254.153846011834, 155.384615254438, 374.076923005917]","[30.230769183432, 21.3076920236686, 24.230769183432, 19.3846150295858]"
156,5.2,"[380.730769510355, 254.307692177515, 154.961538347633, 374.153846088758]","[30.076923035503, 21.6153843550295, 24.076923035503, 19.769230443787]"
157,5.2333,"[381.769231008876, 254.461538343195, 154.538461440828, 374.230769171598]","[29.923076887574, 21.9230766863905, 23.923076887574, 20.1538458579881]"
158,5.2667,"[382.807692507397, 254.615384508876, 154.115384534024, 374.307692254438]","[29.769230739645, 22.2307690177514, 23.769230739645, 20.5384612721893]"
159,5.3,"[383.846154005917, 254.769230674556, 153.692307627219, 374.384615337278]","[29.615384591716, 22.5384613491124, 23.615384591716, 20.9230766863905]"
160,5.3333,"[384.884615504438, 254.923076840237, 153.269230720414, 374.461538420119]","[29.461538443787, 22.8461536804733, 23.461538443787, 21.3076921005917]"
161,5.3667,"[385.923077002959, 255.076923005917, 152.846153813609, 374.538461502959]","[29.307692295858, 23.1538460118343, 23.307692295858, 21.6923075147929]"
162,5.4,"[386.961538501479, 255.230769171598, 152.423076906805, 374.615384585799]","[29.153846147929, 23.4615383431952, 23.153846147929, 22.0769229289941]"
163,5.4333,"[388.0, 255.384615337278, 152.0, 374.692307668639]","[29.0, 23.7692306745562, 23.0, 22.4615383431953]"
164,5.4667,"[387.588234906574, 255.538461502959, 152.0, 374.769230751479]","[29.2352943391003, 24.0769230059171, 23.1176471695501, 22.8461537573964]"
165,5.5,"[387.176470224913, 255.692307668639, 152.0, 374.84615383432]","[29.4705884429065, 24.3846153372781, 23.2352942214533, 23.2307691715976]"
166,5.5333,"[386.764705543252, 255.84615383432, 152.0, 374.92307691716]","[29.7058825467128, 24.692307668639, 23.3529412733564, 23.6153845857988]"
167,5.5667,"[386.352940861591, 256.0, 152.0, 375.0]","[29.941176650519, 25.0, 23.4705883252595, 24.0]"
168,5.6,"[385.941176179931, 257.153848284023, 152.0, 374.769230343196]","[30.1764707543252, 25.2307696568047, 23.5882353771626, 23.9230767810651]"
169,5.6333,"[385.52941149827, 258.307694260354, 152.0, 374.538461147929]","[30.4117648581315, 25.461538852071, 23.7058824290657, 23.8461537159764]"
170,5.6667,"[385.117646816609, 259.461540236686, 152.0, 374.307691952663]","[30.6470589619377, 25.6923080473372, 23.8235294809688, 23.7692306508876]"
171,5.7,"[384.705882134948, 260.615386213017, 152.0, 374.076922757397]","[30.8823530657439, 25.9230772426035, 23.941176532872, 23.6923075857988]"
172,5.7333,"[384.294117453287, 261.769232189349, 152.0, 373.84615356213]","[31.1176471695502, 26.1538464378698, 24.0588235847751, 23.6153845207101]"
173,5.7667,"[383.882352771626, 262.92307816568, 152.0, 373.615384366864]","[31.3529412733564, 26.3846156331361, 24.1764706366782, 23.5384614556213]"
174,5.8,"[383.470588089965, 264.076924142012, 152.0, 373.384615171598]","[31.5882353771626, 26.6153848284023, 24.2941176885813, 23.4615383905326]"
175,5.8333,"[383.058823408304, 265.230770118343, 152.0, 373.153845976332]","[31.8235294809688, 26.8461540236686, 24.4117647404844, 23.3846153254438]"
