,time,object_1
0,0.0,"[282.0, 408.0, 24.0, 24.0]"
1,0.033333,"[280.0, 407.0, 27.0, 18.0]"
2,0.066667,"[277.649993896484, 399.515838623047, 36.0197143554688, 27.400390625]"
3,0.1,"[277.769592285156, 396.422332763672, 35.814453125, 27.1668395996094]"
4,0.13333,"[278.956970214844, 394.412567138672, 33.9796752929688, 25.5596313476562]"
5,0.16667,"[279.069549560547, 391.289367675781, 34.1498413085938, 25.6248779296875]"
6,0.2,"[280.131866455078, 388.325622558594, 33.7981567382812, 25.38525390625]"
7,0.23333,"[280.052825927734, 385.642517089844, 33.7471923828125, 25.3154296875]"
8,0.26667,"[280.014770507812, 382.872802734375, 33.7931213378906, 25.3748779296875]"
9,0.3,"[280.139831542969, 380.404754638672, 33.7692260742188, 25.3674011230469]"
10,0.33333,"[280.17431640625, 377.975646972656, 33.8704223632812, 25.4271545410156]"
11,0.36667,"[279.792175292969, 375.073608398438, 35.1624450683594, 26.60009765625]"
12,0.4,"[279.696929931641, 372.552825927734, 35.5617370605469, 26.9480895996094]"
13,0.43333,"[280.232116699219, 369.825866699219, 34.9842224121094, 26.4935302734375]"
14,0.46667,"[279.843872070312, 366.185424804688, 35.5454406738281, 26.9879760742188]"
15,0.5,"[279.827270507812, 365.005615234375, 35.5416564941406, 26.9680480957031]"
16,0.53333,"[280.094055175781, 363.703491210938, 33.8384399414062, 25.5121459960938]"
17,0.56667,"[280.092864990234, 361.279693603516, 33.8896179199219, 25.6082458496094]"
18,0.6,"[280.064300537109, 359.558044433594, 33.5279235839844, 25.2558288574219]"
19,0.63333,"[280.197448730469, 357.371856689453, 33.3817443847656, 25.1333618164062]"
20,0.66667,"[279.389465332031, 354.840179443359, 34.5613708496094, 26.1740112304688]"
21,0.7,"[279.175323486328, 352.230560302734, 34.4352111816406, 26.0400695800781]"
22,0.73333,"[279.164642333984, 349.893920898438, 34.5020446777344, 26.1661376953125]"
23,0.76667,"[279.184265136719, 347.687774658203, 34.4570922851562, 26.1524047851562]"
24,0.8,"[279.179748535156, 346.708038330078, 34.4220886230469, 26.1415405273438]"
25,0.83333,"[279.230651855469, 343.521850585938, 34.4210510253906, 26.1734619140625]"
26,0.86667,"[279.301574707031, 341.191528320312, 34.2120056152344, 26.0314025878906]"
27,0.9,"[279.362030029297, 339.259063720703, 34.1499938964844, 25.9726257324219]"
28,0.93333,"[279.706024169922, 337.003967285156, 33.9611206054688, 25.8869323730469]"
29,0.96667,"[280.462585449219, 335.253448486328, 32.9022216796875, 24.868408203125]"
30,1.0,"[280.644561767578, 333.005981445312, 33.14111328125, 25.020751953125]"
31,1.0333,"[280.686492919922, 331.510406494141, 33.753173828125, 25.5772705078125]"
32,1.0667,"[281.086791992188, 329.517974853516, 33.2195739746094, 25.1502380371094]"
33,1.1,"[282.129821777344, 327.419006347656, 33.1510925292969, 25.13623046875]"
34,1.1333,"[282.818634033203, 325.090148925781, 32.4682312011719, 24.4052429199219]"
35,1.1667,"[282.829040527344, 322.061340332031, 33.5740356445312, 25.4499206542969]"
36,1.2,"[283.676361083984, 319.484191894531, 33.2786560058594, 25.1780090332031]"
37,1.2333,"[284.780181884766, 317.137268066406, 32.5257568359375, 24.4533081054688]"
38,1.2667,"[284.666778564453, 315.569793701172, 33.27978515625, 25.1770324707031]"
39,1.3,"[285.677429199219, 311.445770263672, 33.8030700683594, 25.6746215820312]"
40,1.3333,"[286.882019042969, 308.808044433594, 33.4898986816406, 25.3342590332031]"
41,1.3667,"[287.754486083984, 306.229614257812, 33.0131530761719, 24.9385070800781]"
42,1.4,"[288.670196533203, 305.270812988281, 32.4542846679688, 24.3894653320312]"
43,1.4333,"[289.816375732422, 302.474487304688, 32.4429626464844, 24.4038391113281]"
44,1.4667,"[290.866302490234, 299.791229248047, 32.4298706054688, 24.4386596679688]"
45,1.5,"[291.897247314453, 296.719390869141, 33.34765625, 25.2136535644531]"
46,1.5333,"[293.700347900391, 294.490631103516, 32.2613220214844, 24.2901611328125]"
47,1.5667,"[294.879821777344, 292.077880859375, 32.0792541503906, 24.1343688964844]"
48,1.6,"[295.20068359375, 290.420227050781, 32.8448181152344, 24.8780822753906]"
49,1.6333,"[296.847808837891, 288.371856689453, 31.9908447265625, 24.0171203613281]"
50,1.6667,"[298.061828613281, 285.581115722656, 32.0771789550781, 24.1140747070312]"
51,1.7,"[299.07568359375, 283.053680419922, 32.1979064941406, 24.23046875]"
52,1.7333,"[299.901184082031, 280.136383056641, 33.1524353027344, 25.1134643554688]"
53,1.7667,"[300.978363037109, 277.484466552734, 33.1679077148438, 25.1592102050781]"
54,1.8,"[301.971069335938, 274.995697021484, 33.1387329101562, 25.0567626953125]"
55,1.8333,"[302.950897216797, 272.744903564453, 32.4660034179688, 24.5483703613281]"
56,1.8667,"[302.795867919922, 269.927429199219, 33.29541015625, 25.2201843261719]"
57,1.9,"[303.874114990234, 267.658447265625, 32.0910949707031, 24.193115234375]"
58,1.9333,"[303.995208740234, 265.479278564453, 32.1480712890625, 24.1466369628906]"
59,1.9667,"[304.069793701172, 262.825317382812, 32.2651062011719, 24.3346557617188]"
60,2.0,"[304.049102783203, 261.397796630859, 32.3516235351562, 24.3461608886719]"
61,2.0333,"[303.777893066406, 258.927795410156, 32.0560913085938, 24.1770935058594]"
62,2.0667,"[303.109710693359, 256.455627441406, 32.0569763183594, 24.0711059570312]"
63,2.1,"[301.898406982422, 253.485977172852, 33.0663757324219, 25.0675811767578]"
64,2.1333,"[302.028137207031, 252.824096679688, 31.7981872558594, 23.8837280273438]"
65,2.1667,"[300.949096679688, 250.369277954102, 31.903564453125, 23.9680633544922]"
66,2.2,"[299.772674560547, 247.574752807617, 32.0250549316406, 24.0244293212891]"
67,2.2333,"[298.029663085938, 244.936798095703, 31.9449768066406, 24.0276184082031]"
68,2.2667,"[295.847412109375, 242.14421081543, 33.2880859375, 25.2067718505859]"
69,2.3,"[294.858093261719, 240.965728759766, 33.256103515625, 25.1531982421875]"
70,2.3333,"[293.676055908203, 239.205596923828, 32.2039489746094, 24.203369140625]"
71,2.3667,"[291.876403808594, 236.930191040039, 32.0527038574219, 24.1307525634766]"
72,2.4,"[289.951721191406, 234.709396362305, 31.9955444335938, 24.0525665283203]"
73,2.4333,"[287.937561035156, 232.8681640625, 32.0400390625, 24.1336059570312]"
74,2.4667,"[285.962951660156, 230.645645141602, 31.9803771972656, 24.0350952148438]"
75,2.5,"[283.974945068359, 228.389389038086, 32.0029296875, 24.03564453125]"
76,2.5333,"[281.954711914062, 226.202255249023, 32.5639953613281, 24.5261840820312]"
77,2.5667,"[279.996063232422, 223.989120483398, 33.0709838867188, 24.9945526123047]"
78,2.6,"[278.921997070312, 222.45524597168, 32.5004272460938, 24.5569763183594]"
79,2.6333,"[277.743774414062, 220.731185913086, 32.3254089355469, 24.4452209472656]"
80,2.6667,"[276.854095458984, 219.693557739258, 32.9435729980469, 24.9260559082031]"
81,2.7,"[275.802368164062, 218.328460693359, 33.0311584472656, 25.0925750732422]"
82,2.7333,"[274.759552001953, 216.905944824219, 33.3719482421875, 25.3211212158203]"
83,2.7667,"[274.568298339844, 216.324417114258, 32.4859008789062, 24.5682220458984]"
84,2.8,"[273.846038818359, 214.839950561523, 33.3514709472656, 25.2924041748047]"
85,2.8333,"[273.838439941406, 214.457046508789, 32.3844604492188, 24.4969177246094]"
