,time,object_1
0,0.0,"[470.0, 202.0, 21.0, 15.0]"
1,0.033333,"[469.533050537109, 201.345001220703, 21.5488891601562, 16.1240081787109]"
2,0.066667,"[469.489624023438, 201.296936035156, 21.5543823242188, 16.1443328857422]"
3,0.1,"[469.258514404297, 200.887741088867, 21.8425598144531, 16.9284057617188]"
4,0.13333,"[468.712493896484, 200.195388793945, 22.6923217773438, 18.1234283447266]"
5,0.16667,"[467.936157226562, 199.314529418945, 24.1966857910156, 19.7269134521484]"
6,0.2,"[466.845581054688, 199.243682861328, 25.6265869140625, 19.7708129882812]"
7,0.23333,"[467.441436767578, 200.280639648438, 24.2770385742188, 17.9035949707031]"
8,0.26667,"[467.075439453125, 199.993698120117, 24.5985107421875, 18.4316711425781]"
9,0.3,"[467.125823974609, 200.042114257812, 24.5133972167969, 18.32763671875]"
10,0.33333,"[467.119445800781, 200.189880371094, 24.5202026367188, 18.0384979248047]"
11,0.36667,"[466.873992919922, 199.868072509766, 24.9026184082031, 18.6289215087891]"
12,0.4,"[466.792694091797, 199.496871948242, 25.0157775878906, 19.3463745117188]"
13,0.43333,"[466.296142578125, 198.825256347656, 25.6592102050781, 20.5864410400391]"
14,0.46667,"[466.296112060547, 198.825271606445, 25.6592102050781, 20.58642578125]"
15,0.5,"[466.203247070312, 198.40739440918, 25.7915344238281, 21.1837005615234]"
16,0.53333,"[464.7080078125, 196.889556884766, 28.8297119140625, 23.9587707519531]"
17,0.56667,"[464.782012939453, 196.8828125, 28.6548156738281, 23.9437408447266]"
18,0.6,"[464.765869140625, 196.797912597656, 28.6526184082031, 24.0678863525391]"
19,0.63333,"[466.595275878906, 198.653518676758, 24.7401123046875, 20.2677001953125]"
20,0.66667,"[466.337036132812, 198.308319091797, 25.4386596679688, 20.96728515625]"
21,0.7,"[466.147430419922, 197.771530151367, 25.8269653320312, 21.989013671875]"
22,0.73333,"[467.823455810547, 199.683624267578, 22.4413146972656, 18.0739135742188]"
23,0.76667,"[468.837097167969, 200.603118896484, 20.4934997558594, 16.1259002685547]"
24,0.8,"[468.680847167969, 200.609436035156, 20.7813415527344, 16.13916015625]"
25,0.83333,"[468.955322265625, 200.875152587891, 20.3728637695312, 15.4723815917969]"
26,0.86667,"[469.006500244141, 200.935348510742, 20.4881896972656, 15.3408203125]"
27,0.9,"[469.044464111328, 201.099822998047, 20.5436706542969, 15.0087585449219]"
28,0.93333,"[469.089508056641, 201.129211425781, 20.5775146484375, 14.8983154296875]"
29,0.96667,"[468.986450195312, 201.000839233398, 20.974853515625, 15.1060485839844]"
30,1.0,"[469.081176757812, 201.107406616211, 20.7610778808594, 14.8897094726562]"
31,1.0333,"[469.176300048828, 201.041198730469, 20.6745300292969, 14.9637756347656]"
32,1.0667,"[469.321655273438, 200.864776611328, 20.7052307128906, 15.2445068359375]"
33,1.1,"[469.44921875, 200.607727050781, 20.6629943847656, 15.6190643310547]"
34,1.1333,"[468.422241210938, 199.478302001953, 22.8432006835938, 17.5858154296875]"
