,time,object_1
0,0.0,"[311.0, 61.0, 62.0, 48.0]"
1,0.033333,"[309.7958984375, 63.5717849731445, 63.6221313476562, 49.7421188354492]"
2,0.066667,"[308.883575439453, 70.5660858154297, 63.6363830566406, 49.6854705810547]"
3,0.1,"[308.017425537109, 77.1678237915039, 63.6441650390625, 49.7969284057617]"
4,0.13333,"[307.253997802734, 80.248908996582, 64.3201293945312, 50.2643966674805]"
5,0.16667,"[306.164703369141, 86.4664611816406, 64.6438293457031, 50.6316223144531]"
6,0.2,"[305.971160888672, 89.6664886474609, 64.4077453613281, 50.4480133056641]"
7,0.23333,"[304.831604003906, 95.5376663208008, 64.8686828613281, 50.8775253295898]"
8,0.26667,"[304.137664794922, 101.330703735352, 64.8017578125, 50.8950500488281]"
9,0.3,"[303.83544921875, 104.177978515625, 64.748779296875, 50.7746124267578]"
10,0.33333,"[303.456359863281, 110.249938964844, 64.0853881835938, 49.8854370117188]"
11,0.36667,"[303.015655517578, 115.820213317871, 63.7971496582031, 49.7015609741211]"
12,0.4,"[302.674072265625, 118.477905273438, 63.9844055175781, 49.9215393066406]"
13,0.43333,"[302.684692382812, 124.342437744141, 62.8740234375, 48.8502502441406]"
14,0.46667,"[302.240844726562, 129.533355712891, 62.6155700683594, 49.0208282470703]"
15,0.5,"[301.698516845703, 131.842010498047, 63.0975952148438, 49.5562896728516]"
16,0.53333,"[301.311492919922, 137.275375366211, 62.3291931152344, 48.9320373535156]"
17,0.56667,"[301.159027099609, 142.788970947266, 61.2620849609375, 47.7479553222656]"
18,0.6,"[300.731628417969, 144.905410766602, 61.4874267578125, 48.2930908203125]"
19,0.63333,"[300.102813720703, 150.069061279297, 61.0222778320312, 47.5339813232422]"
20,0.66667,"[299.683654785156, 152.335800170898, 60.9520568847656, 47.4304809570312]"
21,0.7,"[298.493103027344, 156.602783203125, 61.5362243652344, 47.7338714599609]"
22,0.73333,"[297.342193603516, 160.775665283203, 61.8361511230469, 48.0822143554688]"
23,0.76667,"[296.586761474609, 165.034378051758, 61.5545349121094, 47.7365875244141]"
24,0.8,"[295.635925292969, 168.950866699219, 61.6970825195312, 47.8048400878906]"
25,0.83333,"[294.687866210938, 172.655166625977, 62.0624694824219, 48.3578796386719]"
26,0.86667,"[294.336334228516, 174.518508911133, 61.9882507324219, 48.2641448974609]"
27,0.9,"[293.694946289062, 178.363739013672, 61.7095031738281, 47.9831085205078]"
28,0.93333,"[293.218627929688, 182.128540039062, 61.0856628417969, 47.582275390625]"
29,0.96667,"[292.446166992188, 185.387969970703, 61.2969360351562, 47.8935089111328]"
30,1.0,"[292.251770019531, 187.366012573242, 60.8935241699219, 47.5222930908203]"
31,1.0333,"[291.435363769531, 190.361907958984, 60.9822998046875, 47.7745208740234]"
32,1.0667,"[291.238006591797, 192.29231262207, 60.4737548828125, 47.0751647949219]"
33,1.1,"[290.539764404297, 195.690887451172, 59.9005737304688, 46.5264739990234]"
34,1.1333,"[289.498321533203, 198.470062255859, 60.1434936523438, 46.8490753173828]"
35,1.1667,"[289.103393554688, 199.976974487305, 59.9413452148438, 46.7852630615234]"
36,1.2,"[287.848724365234, 202.80940246582, 60.09375, 46.9864044189453]"
37,1.2333,"[287.310180664062, 204.307678222656, 60.0339050292969, 46.8414611816406]"
38,1.2667,"[285.981170654297, 206.905624389648, 60.2324829101562, 47.1728515625]"
39,1.3,"[285.626892089844, 208.784774780273, 59.5833435058594, 46.3991546630859]"
40,1.3333,"[283.753662109375, 210.660186767578, 60.6804809570312, 47.9600524902344]"
41,1.3667,"[283.404571533203, 212.485504150391, 59.881591796875, 47.0181884765625]"
42,1.4,"[281.668487548828, 214.545288085938, 60.6882934570312, 47.9728393554688]"
