,time,object_1
0,0.0,"[346.0, 342.0, 29.0, 16.0]"
1,0.033333,"[346.0, 338.0, 31.0, 20.0]"
2,0.066667,"[348.0, 340.0, 25.0, 17.0]"
3,0.1,"[348.0, 339.0, 25.0, 17.0]"
4,0.13333,"[351.0, 339.0, 23.0, 15.0]"
5,0.16667,"[351.0, 338.0, 23.0, 16.0]"
6,0.2,"[350.0, 338.0, 26.0, 16.0]"
7,0.23333,"[350.0, 335.0, 26.0, 19.0]"
8,0.26667,"[352.0, 336.0, 27.0, 17.0]"
9,0.3,"[353.0, 336.0, 26.0, 17.0]"
10,0.33333,"[353.0, 336.0, 25.0, 19.0]"
11,0.36667,"[351.0, 332.0, 27.0, 23.0]"
12,0.4,"[351.0, 332.0, 28.0, 17.0]"
13,0.43333,"[356.0, 333.0, 23.0, 16.0]"
14,0.46667,"[356.0, 333.0, 23.0, 15.0]"
15,0.5,"[351.0, 326.0, 28.0, 22.0]"
16,0.53333,"[351.0, 327.0, 30.0, 24.0]"
17,0.56667,"[354.0, 327.0, 26.0, 23.0]"
18,0.6,"[354.0, 327.0, 24.0, 21.0]"
19,0.63333,"[354.0, 330.0, 24.0, 18.0]"
20,0.66667,"[354.0, 330.0, 24.0, 15.0]"
21,0.7,"[354.0, 325.0, 24.0, 20.0]"
22,0.73333,"[354.0, 325.0, 27.0, 19.0]"
23,0.76667,"[359.0, 327.0, 22.0, 17.0]"
24,0.8,"[359.0, 327.0, 22.0, 17.0]"
25,0.83333,"[356.0, 322.0, 25.0, 22.0]"
26,0.86667,"[356.0, 322.0, 25.0, 20.0]"
27,0.9,"[361.0, 322.0, 20.0, 20.0]"
28,0.93333,"[361.0, 322.0, 18.0, 17.0]"
29,0.96667,"[356.0, 321.0, 23.0, 18.0]"
30,1.0,"[356.0, 321.0, 28.0, 18.0]"
31,1.0333,"[358.0, 318.0, 26.0, 21.0]"
32,1.0667,"[356.0, 320.0, 29.0, 16.0]"
33,1.1,"[357.203247070312, 318.805358886719, 27.3523559570312, 16.6445007324219]"
34,1.1333,"[357.822631835938, 317.539093017578, 26.2665100097656, 17.6104736328125]"
35,1.1667,"[357.669281005859, 316.510437011719, 26.7512817382812, 18.0392456054688]"
36,1.2,"[354.545288085938, 312.556396484375, 34.0238952636719, 23.9657287597656]"
37,1.2333,"[355.142120361328, 312.672637939453, 32.8250732421875, 22.0185241699219]"
38,1.2667,"[354.528015136719, 312.007141113281, 34.054931640625, 22.0368041992188]"
39,1.3,"[357.848175048828, 313.978485107422, 27.6792602539062, 16.3762512207031]"
40,1.3333,"[359.452941894531, 313.038452148438, 24.4761962890625, 16.6716918945312]"
41,1.3667,"[360.455078125, 312.465576171875, 22.4862365722656, 15.85791015625]"
42,1.4,"[360.144012451172, 312.057708740234, 23.480712890625, 14.9057006835938]"
43,1.4333,"[359.942565917969, 311.274749755859, 23.8223266601562, 14.669677734375]"
44,1.4667,"[359.941009521484, 310.393218994141, 23.7642211914062, 14.5853271484375]"
45,1.5,"[359.843109130859, 309.721221923828, 23.9317932128906, 14.0897216796875]"
46,1.5333,"[359.458831787109, 308.822113037109, 24.6796264648438, 14.0891723632812]"
47,1.5667,"[359.151092529297, 307.694732666016, 25.2700805664062, 14.5549621582031]"
