,time,object_1
0,0.0,"[251.0, 257.0, 54.0, 32.0]"
1,0.033333,"[247.175109863281, 259.766143798828, 54.4825134277344, 33.1307678222656]"
2,0.066667,"[243.977401733398, 262.341552734375, 54.8690643310547, 33.6267700195312]"
3,0.1,"[243.349319458008, 263.143218994141, 54.5830535888672, 33.2585754394531]"
4,0.13333,"[241.608245849609, 264.262634277344, 55.170166015625, 33.8215942382812]"
5,0.16667,"[240.430023193359, 265.302520751953, 55.2213134765625, 33.8602294921875]"
6,0.2,"[239.860137939453, 266.488250732422, 54.9587097167969, 33.6980895996094]"
7,0.23333,"[239.525039672852, 267.039215087891, 55.0638885498047, 33.4906616210938]"
8,0.26667,"[239.25439453125, 267.772003173828, 54.9565734863281, 33.4569702148438]"
9,0.3,"[239.269653320312, 268.855346679688, 54.7941589355469, 33.1828918457031]"
10,0.33333,"[239.594177246094, 269.900482177734, 55.0222473144531, 32.8937377929688]"
11,0.36667,"[240.437637329102, 271.058532714844, 54.9300384521484, 32.6993103027344]"
12,0.4,"[241.155258178711, 271.628204345703, 54.9811553955078, 33.33935546875]"
13,0.43333,"[241.918838500977, 272.447692871094, 56.0109405517578, 34.6700439453125]"
14,0.46667,"[242.671646118164, 272.977661132812, 55.6331329345703, 34.5867614746094]"
15,0.5,"[243.49983215332, 274.000122070312, 55.8097991943359, 34.941650390625]"
16,0.53333,"[244.260543823242, 275.360992431641, 56.0681610107422, 35.2400817871094]"
17,0.56667,"[244.57682800293, 275.815246582031, 56.3841400146484, 35.6111450195312]"
18,0.6,"[245.663009643555, 277.686950683594, 55.9751434326172, 35.241455078125]"
19,0.63333,"[246.651992797852, 279.515289306641, 55.8976287841797, 35.1186218261719]"
20,0.66667,"[246.75569152832, 280.334503173828, 56.3573150634766, 35.4183349609375]"
21,0.7,"[247.614242553711, 282.435607910156, 56.3256378173828, 35.3096923828125]"
22,0.73333,"[248.75666809082, 284.830413818359, 55.6096649169922, 34.6818237304688]"
23,0.76667,"[248.736389160156, 285.857757568359, 56.181640625, 35.1102600097656]"
24,0.8,"[249.855102539062, 288.530731201172, 55.7664794921875, 34.6586608886719]"
25,0.83333,"[251.02912902832, 291.437194824219, 55.0201263427734, 33.864013671875]"
26,0.86667,"[251.100021362305, 292.508575439453, 55.6353912353516, 34.1262817382812]"
27,0.9,"[252.335205078125, 295.693817138672, 54.8869323730469, 33.2600402832031]"
28,0.93333,"[252.893905639648, 297.171142578125, 54.7424163818359, 33.0988464355469]"
29,0.96667,"[253.858474731445, 299.978393554688, 54.7288665771484, 32.7412109375]"
30,1.0,"[254.771087646484, 302.513061523438, 54.8678588867188, 33.1229553222656]"
31,1.0333,"[255.941452026367, 305.280822753906, 54.7732086181641, 33.0009155273438]"
32,1.0667,"[257.026062011719, 307.835357666016, 54.9833679199219, 33.2030944824219]"
33,1.1,"[258.898895263672, 311.981170654297, 55.0171508789062, 33.5988464355469]"
34,1.1333,"[260.509185791016, 316.299743652344, 55.5621032714844, 34.2312622070312]"
35,1.1667,"[261.826690673828, 319.640441894531, 55.301513671875, 34.1909484863281]"
36,1.2,"[262.841064453125, 322.869781494141, 55.6263427734375, 34.4753112792969]"
37,1.2333,"[263.280303955078, 324.672149658203, 55.7368774414062, 34.5045776367188]"
38,1.2667,"[264.443084716797, 328.285064697266, 55.5499877929688, 34.2299194335938]"
39,1.3,"[265.456481933594, 331.923797607422, 55.5512390136719, 34.2803649902344]"
40,1.3333,"[265.973388671875, 333.889556884766, 55.2969360351562, 33.9522399902344]"
41,1.3667,"[267.037261962891, 337.828887939453, 55.0317993164062, 33.5419311523438]"
42,1.4,"[267.657684326172, 341.281005859375, 55.3689575195312, 33.8988647460938]"
43,1.4333,"[268.009796142578, 343.376586914062, 55.3153991699219, 33.7174682617188]"
44,1.4667,"[268.778350830078, 347.16259765625, 55.2248229980469, 33.7102355957031]"
45,1.5,"[268.990051269531, 350.833801269531, 55.8649291992188, 34.2879638671875]"
46,1.5333,"[269.851806640625, 355.089385986328, 55.1935729980469, 33.7767333984375]"
47,1.5667,"[270.029388427734, 357.122314453125, 55.3338928222656, 33.8568725585938]"
48,1.6,"[270.276245117188, 361.068176269531, 55.7160034179688, 34.2245483398438]"
49,1.6333,"[270.876251220703, 365.554504394531, 55.2205810546875, 33.703125]"
50,1.6667,"[271.005523681641, 367.799041748047, 55.0868530273438, 33.4821472167969]"
51,1.7,"[270.903015136719, 371.826385498047, 55.7634887695312, 34.3215637207031]"
52,1.7333,"[270.724884033203, 375.844421386719, 56.2594299316406, 34.9089965820312]"
53,1.7667,"[270.411285400391, 379.681427001953, 56.753662109375, 35.6218872070312]"
54,1.8,"[269.882385253906, 383.933258056641, 57.2685546875, 35.8908996582031]"
55,1.8333,"[269.121276855469, 387.626312255859, 58.1890869140625, 36.7150268554688]"
56,1.8667,"[268.705688476562, 389.492340087891, 58.6687927246094, 37.1524047851562]"
57,1.9,"[267.904327392578, 393.150695800781, 59.4236450195312, 37.8464050292969]"
58,1.9333,"[266.787750244141, 396.385894775391, 60.44873046875, 38.9495849609375]"
59,1.9667,"[271.89897510981, 400.180087847731, 50.2254758418741, 35.2327964860908]"
60,2.0,"[273.398243045388, 407.676427525622, 47.9765739385066, 29.2357247437774]"
61,2.0333,"[272.0, 414.0, 45.0, 24.0]"
62,2.0667,"[270.0, 420.0, 47.0, 18.0]"
63,2.1,"[270.0, 420.0, 43.0, 26.0]"
64,2.1333,"[269.0, 428.0, 44.0, 18.0]"
65,2.1667,"[269.0, 428.0, 48.0, 23.0]"
66,2.2,"[266.0, 433.0, 51.0, 17.0]"
67,2.2333,"[266.0, 432.0, 45.0, 27.0]"
68,2.2667,"[270.0, 443.0, 41.0, 19.0]"
69,2.3,"[268.0, 444.0, 38.0, 22.0]"
70,2.3333,"[268.0, 444.0, 39.0, 22.0]"
71,2.3667,"[267.0, 452.0, 33.0, 19.0]"
72,2.4,"[267.0, 452.0, 37.0, 22.0]"
73,2.4333,"[263.0, 455.0, 41.0, 19.0]"
74,2.4667,"[263.0, 455.0, 37.0, 25.0]"
75,2.5,"[256.0, 459.0, 44.0, 21.0]"
76,2.5333,"[256.0, 459.0, 44.0, 26.0]"
77,2.5667,"[255.0, 465.0, 44.0, 21.0]"
78,2.6,"[255.0, 463.0, 42.0, 27.0]"
79,2.6333,"[254.0, 466.0, 43.0, 24.0]"
80,2.6667,"[254.0, 466.0, 41.0, 27.0]"
81,2.7,"[252.0, 472.0, 43.0, 21.0]"
82,2.7333,"[252.0, 472.0, 37.0, 23.0]"
83,2.7667,"[246.0, 478.0, 42.0, 17.0]"
84,2.8,"[246.0, 477.0, 39.0, 20.0]"
85,2.8333,"[240.0, 480.0, 45.0, 17.0]"
86,2.8667,"[240.0, 479.0, 42.0, 23.0]"
87,2.9,"[240.0, 480.0, 43.0, 22.0]"
88,2.9333,"[240.0, 480.0, 39.0, 21.0]"
89,2.9667,"[235.0, 483.0, 44.0, 18.0]"
90,3.0,"[235.0, 483.0, 41.0, 21.0]"
91,3.0333,"[231.0, 483.0, 45.0, 21.0]"
92,3.0667,"[231.0, 483.0, 42.0, 21.0]"
93,3.1,"[227.0, 483.0, 46.0, 21.0]"
94,3.1333,"[227.0, 483.0, 44.0, 23.0]"
95,3.1667,"[225.0, 486.0, 46.0, 20.0]"
96,3.2,"[225.0, 486.0, 40.0, 17.0]"
97,3.2333,"[220.0, 483.0, 45.0, 20.0]"
98,3.2667,"[220.0, 483.0, 41.0, 23.0]"
99,3.3,"[212.0, 483.0, 49.0, 23.0]"
100,3.3333,"[212.0, 483.0, 42.0, 22.0]"
101,3.3667,"[210.0, 483.0, 44.0, 22.0]"
102,3.4,"[210.0, 483.0, 41.0, 22.0]"
103,3.4333,"[208.0, 482.0, 43.0, 23.0]"
104,3.4667,"[208.0, 482.0, 41.0, 22.0]"
105,3.5,"[205.0, 480.0, 44.0, 24.0]"
106,3.5333,"[205.0, 480.0, 38.0, 20.0]"
107,3.5667,"[199.0, 481.0, 44.0, 19.0]"
108,3.6,"[199.0, 481.0, 41.0, 17.0]"
109,3.6333,"[195.0, 476.0, 45.0, 22.0]"
110,3.6667,"[195.0, 476.0, 40.0, 19.0]"
111,3.7,"[191.0, 471.0, 44.0, 24.0]"
112,3.7333,"[191.0, 471.0, 42.0, 20.0]"
113,3.7667,"[186.0, 468.0, 47.0, 23.0]"
114,3.8,"[186.0, 468.0, 45.0, 21.0]"
115,3.8333,"[184.0, 468.0, 47.0, 21.0]"
116,3.8667,"[184.0, 468.0, 41.0, 18.0]"
117,3.9,"[181.0, 461.0, 44.0, 25.0]"
