,time,object_1
0,0.0,"[595.366032210835, 217.0, 35.6339677891654, 23.0]"
1,0.033333,"[591.83056640625, 216.774185180664, 36.046875, 23.387451171875]"
2,0.066667,"[590.12890625, 216.518676757812, 36.076416015625, 23.6598815917969]"
3,0.1,"[586.8271484375, 216.093597412109, 36.2755737304688, 23.7561950683594]"
4,0.13333,"[583.770202636719, 215.407302856445, 36.3052368164062, 23.8710784912109]"
5,0.16667,"[580.849426269531, 215.083923339844, 35.9388427734375, 23.2023162841797]"
6,0.2,"[579.914367675781, 214.707290649414, 35.3981323242188, 23.1026306152344]"
7,0.23333,"[576.907653808594, 213.943069458008, 35.5057373046875, 23.0075073242188]"
8,0.26667,"[575.689453125, 213.278427124023, 35.4228515625, 23.0890502929688]"
9,0.3,"[572.889282226562, 212.358612060547, 35.7745971679688, 23.170166015625]"
10,0.33333,"[570.628845214844, 210.975738525391, 35.5347900390625, 23.2940368652344]"
11,0.36667,"[569.285400390625, 210.322891235352, 35.8949584960938, 23.5002593994141]"
12,0.4,"[566.915588378906, 208.938140869141, 36.0404052734375, 23.2670288085938]"
13,0.43333,"[565.856018066406, 208.142913818359, 36.2945556640625, 23.7528076171875]"
14,0.46667,"[563.814819335938, 206.357467651367, 36.3779296875, 23.9001617431641]"
15,0.5,"[562.411560058594, 205.02604675293, 35.6934204101562, 23.2342681884766]"
16,0.53333,"[561.673645019531, 204.210540771484, 35.4443969726562, 23.1542510986328]"
17,0.56667,"[559.903564453125, 202.351135253906, 35.7393798828125, 23.1038818359375]"
18,0.6,"[558.992980957031, 200.765686035156, 35.1193237304688, 22.8589782714844]"
19,0.63333,"[557.926330566406, 199.499389648438, 35.652099609375, 23.3486633300781]"
20,0.66667,"[557.044311523438, 197.816452026367, 34.9956665039062, 22.7334899902344]"
21,0.7,"[555.957641601562, 195.791641235352, 34.9991455078125, 22.7432708740234]"
22,0.73333,"[554.476501464844, 193.402450561523, 35.515869140625, 23.0099334716797]"
23,0.76667,"[554.020080566406, 192.49186706543, 35.5186157226562, 22.9418792724609]"
24,0.8,"[553.005798339844, 190.452529907227, 35.6388549804688, 23.1515502929688]"
25,0.83333,"[552.655700683594, 189.553115844727, 35.2702026367188, 22.8611145019531]"
26,0.86667,"[551.60498046875, 187.911254882812, 35.3024291992188, 22.7987976074219]"
27,0.9,"[550.281494140625, 185.822250366211, 35.9613037109375, 23.5836944580078]"
28,0.93333,"[549.766174316406, 185.163223266602, 35.8361206054688, 23.3935241699219]"
29,0.96667,"[548.70703125, 183.738433837891, 35.8909301757812, 23.4447784423828]"
30,1.0,"[547.933959960938, 183.041198730469, 36.1426391601562, 23.4561004638672]"
31,1.0333,"[546.760986328125, 181.919174194336, 36.2044067382812, 23.5594482421875]"
32,1.0667,"[545.580749511719, 180.894439697266, 36.0036010742188, 23.7109680175781]"
33,1.1,"[545.041625976562, 180.684814453125, 35.9174194335938, 23.26025390625]"
34,1.1333,"[543.738891601562, 179.674011230469, 35.7481689453125, 23.3914184570312]"
35,1.1667,"[542.064758300781, 179.119384765625, 36.0677490234375, 23.4974822998047]"
36,1.2,"[540.583129882812, 178.662628173828, 36.0468139648438, 23.7669372558594]"
37,1.2333,"[539.698791503906, 178.712036132812, 35.9911499023438, 23.5881042480469]"
38,1.2667,"[538.022888183594, 178.805038452148, 35.9130859375, 23.2512969970703]"
39,1.3,"[537.051574707031, 178.800521850586, 35.8671264648438, 23.1973266601562]"
40,1.3333,"[535.290588378906, 178.785125732422, 35.767333984375, 23.2814636230469]"
41,1.3667,"[534.269653320312, 178.809097290039, 35.7861328125, 23.2649383544922]"
42,1.4,"[532.006591796875, 178.941665649414, 36.070556640625, 23.5071716308594]"
43,1.4333,"[530.027709960938, 179.472534179688, 35.6681518554688, 23.0237274169922]"
44,1.4667,"[528.970458984375, 179.606475830078, 35.6751708984375, 23.2058258056641]"
45,1.5,"[526.586120605469, 179.66291809082, 35.7208251953125, 23.5943450927734]"
46,1.5333,"[523.925354003906, 180.148071289062, 36.0370483398438, 23.3828887939453]"
47,1.5667,"[523.013000488281, 180.5439453125, 35.402099609375, 22.9325408935547]"
48,1.6,"[520.439392089844, 180.805252075195, 35.4705200195312, 22.9624176025391]"
49,1.6333,"[517.750244140625, 181.057586669922, 35.8323364257812, 23.5214080810547]"
50,1.6667,"[516.556030273438, 181.131042480469, 35.6378784179688, 23.4798583984375]"
51,1.7,"[513.749328613281, 181.705581665039, 35.863037109375, 23.5404510498047]"
52,1.7333,"[511.001953125, 182.325637817383, 35.8493041992188, 23.2057189941406]"
53,1.7667,"[510.072631835938, 182.85041809082, 35.1740112304688, 22.7276153564453]"
54,1.8,"[506.86279296875, 183.050598144531, 35.9354248046875, 23.4417419433594]"
55,1.8333,"[503.994049072266, 183.835067749023, 35.9643249511719, 23.3824462890625]"
56,1.8667,"[501.475372314453, 184.803741455078, 35.4820251464844, 23.0269165039062]"
57,1.9,"[498.617340087891, 185.700546264648, 35.2822570800781, 22.8386077880859]"
58,1.9333,"[496.737243652344, 185.76220703125, 36.103759765625, 23.6656951904297]"
59,1.9667,"[493.719207763672, 186.716461181641, 36.1355285644531, 23.7207336425781]"
60,2.0,"[490.853424072266, 187.693023681641, 35.8500061035156, 23.3756103515625]"
61,2.0333,"[487.790008544922, 188.606857299805, 35.5162658691406, 23.4066619873047]"
62,2.0667,"[484.891265869141, 189.549545288086, 35.2366638183594, 23.1281433105469]"
63,2.1,"[481.364166259766, 190.318878173828, 35.7152404785156, 23.3474731445312]"
64,2.1333,"[477.862091064453, 191.022232055664, 36.1871032714844, 23.6600646972656]"
65,2.1667,"[476.579650878906, 191.650939941406, 35.4812622070312, 23.2098083496094]"
66,2.2,"[473.119384765625, 192.270126342773, 35.8945617675781, 23.4153442382812]"
67,2.2333,"[471.582244873047, 192.514694213867, 35.8612670898438, 23.8770904541016]"
68,2.2667,"[468.495361328125, 193.698425292969, 35.4282531738281, 23.0232696533203]"
69,2.3,"[466.516235351562, 193.556518554688, 35.9792785644531, 24.0259246826172]"
70,2.3333,"[463.537384033203, 194.659072875977, 35.3796997070312, 22.9733581542969]"
71,2.3667,"[461.524505615234, 194.519119262695, 35.8936157226562, 23.9465942382812]"
72,2.4,"[458.569549560547, 195.553115844727, 35.4262084960938, 23.0921478271484]"
73,2.4333,"[456.563812255859, 195.585083007812, 35.9967651367188, 23.9634857177734]"
74,2.4667,"[453.39501953125, 196.808395385742, 35.4606628417969, 22.8889007568359]"
75,2.5,"[449.961944580078, 197.456024169922, 35.5705261230469, 23.1427001953125]"
76,2.5333,"[448.16064453125, 197.659606933594, 35.7413635253906, 23.1757965087891]"
77,2.5667,"[444.765350341797, 198.158081054688, 35.7721557617188, 23.5043182373047]"
78,2.6,"[439.936401367188, 199.720520019531, 35.15185546875, 22.9255676269531]"
79,2.6333,"[437.813018798828, 199.745101928711, 35.9561767578125, 23.5000457763672]"
80,2.6667,"[434.312438964844, 200.626190185547, 35.9503784179688, 23.7170257568359]"
81,2.7,"[432.599639892578, 200.82942199707, 35.9155883789062, 23.8468933105469]"
82,2.7333,"[428.925018310547, 202.153442382812, 36.001220703125, 23.3626556396484]"
83,2.7667,"[425.3603515625, 202.879791259766, 35.88671875, 23.6287536621094]"
84,2.8,"[424.052795410156, 203.848419189453, 35.0935974121094, 22.6628265380859]"
85,2.8333,"[419.935668945312, 204.558456420898, 35.7778930664062, 23.3249816894531]"
86,2.8667,"[416.241241455078, 205.476043701172, 35.8129577636719, 23.3549957275391]"
87,2.9,"[414.06640625, 205.887756347656, 36.1031188964844, 23.5709075927734]"
