,time,object_1,object_2
0,0.0,"[128.0, 391.0, 127.0, 136.0]","[29.0, 30.0, 24.0, 23.0]"
1,0.033333,"[128.2499998125, 391.888888955039, 127.499999625, 135.333333283721]","[29.2499998125, 29.7777777612403, 25.2499990624998, 23.1111111193798]"
2,0.066667,"[128.499999875, 392.777777835659, 127.99999975, 134.666666623256]","[29.499999875, 29.5555555410853, 26.4999993749998, 23.2222222294574]"
3,0.1,"[128.7499999375, 393.666666716279, 128.499999875, 133.999999962791]","[29.7499999375, 29.3333333209302, 27.7499996874999, 23.3333333395349]"
4,0.13333,"[129.0, 394.555555596899, 129.0, 133.333333302326]","[30.0, 29.1111111007752, 29.0, 23.4444444496124]"
5,0.16667,"[129.636364214876, 395.444444477519, 131.272729338843, 132.666666641861]","[29.8181816528926, 28.8888888806202, 28.8181816528926, 23.5555555596899]"
6,0.2,"[130.272727793388, 396.33333335814, 133.545456404959, 131.999999981395]","[29.6363634876033, 28.6666666604651, 28.6363634876033, 23.6666666697674]"
7,0.23333,"[130.909091371901, 397.22222223876, 135.818183471074, 131.33333332093]","[29.4545453223141, 28.4444444403101, 28.4545453223141, 23.777777779845]"
8,0.26667,"[131.545454950413, 398.11111111938, 138.09091053719, 130.666666660465]","[29.2727271570248, 28.222222220155, 28.2727271570248, 23.8888888899225]"
9,0.3,"[132.181818528926, 399.0, 140.363637603306, 130.0]","[29.0909089917355, 28.0, 28.0909089917355, 24.0]"
10,0.33333,"[132.818182107438, 399.388888950387, 142.636364669421, 129.333333227907]","[28.9090908264463, 27.9444444356589, 27.9090908264463, 23.8888888713178]"
11,0.36667,"[133.45454568595, 399.777777835659, 144.909091735537, 128.666666567442]","[28.727272661157, 27.8888888806201, 27.727272661157, 23.7777777612403]"
12,0.4,"[134.090909264463, 400.16666672093, 147.181818801653, 127.999999906977]","[28.5454544958678, 27.8333333255814, 27.5454544958678, 23.6666666511628]"
13,0.43333,"[134.727272842975, 400.555555606201, 149.454545867769, 127.333333246512]","[28.3636363305785, 27.7777777705426, 27.3636363305785, 23.5555555410853]"
14,0.46667,"[135.363636421488, 400.944444491473, 151.727272933884, 126.666666586046]","[28.1818181652893, 27.7222222155039, 27.1818181652893, 23.4444444310078]"
15,0.5,"[136.0, 401.333333376744, 154.0, 125.999999925581]","[28.0, 27.6666666604651, 27.0, 23.3333333209302]"
16,0.53333,"[135.857142979592, 401.722222262015, 157.285711469387, 125.333333265116]","[27.7142859591837, 27.6111111054263, 27.0, 23.2222222108527]"
17,0.56667,"[135.714285816327, 402.111111147287, 160.571426224489, 124.666666604651]","[27.4285716326531, 27.5555555503876, 27.0, 23.1111111007752]"
18,0.6,"[135.571428653061, 402.500000032558, 163.857140979592, 123.999999944186]","[27.1428573061225, 27.4999999953488, 27.0, 22.9999999906977]"
19,0.63333,"[135.428571489796, 402.888888917829, 167.142855734694, 123.333333283721]","[26.8571429795918, 27.4444444403101, 27.0, 22.8888888806202]"
