,time,object_1
0,0.0,"[308.0, 309.0, 30.0, 30.0]"
1,0.033333,"[307.210526968658, 307.736843149853, 29.8421053937317, 29.9473684645772]"
2,0.066667,"[306.421053248177, 306.473685197084, 29.6842106496355, 29.8947368832118]"
3,0.1,"[305.631579527696, 305.210527244314, 29.5263159055393, 29.8421053018464]"
4,0.13333,"[304.842105807215, 303.947369291544, 29.3684211614431, 29.789473720481]"
5,0.16667,"[304.052632086734, 302.684211338775, 29.2105264173469, 29.7368421391156]"
6,0.2,"[303.263158366253, 301.421053386005, 29.0526316732507, 29.6842105577502]"
7,0.23333,"[302.473684645772, 300.157895433236, 28.8947369291544, 29.6315789763848]"
8,0.26667,"[301.684210925291, 298.894737480466, 28.7368421850582, 29.5789473950194]"
9,0.3,"[300.89473720481, 297.631579527696, 28.578947440962, 29.526315813654]"
10,0.33333,"[300.105263484329, 296.368421574927, 28.4210526968658, 29.4736842322886]"
11,0.36667,"[299.315789763848, 295.105263622157, 28.2631579527696, 29.4210526509232]"
12,0.4,"[298.526316043367, 293.842105669387, 28.1052632086734, 29.3684210695578]"
13,0.43333,"[297.736842322886, 292.578947716618, 27.9473684645772, 29.3157894881924]"
14,0.46667,"[296.947368602405, 291.315789763848, 27.789473720481, 29.263157906827]"
15,0.5,"[296.157894881924, 290.052631811079, 27.6315789763848, 29.2105263254616]"
16,0.53333,"[295.368421161443, 288.789473858309, 27.4736842322886, 29.1578947440962]"
17,0.56667,"[294.578947440962, 287.526315905539, 27.3157894881924, 29.1052631627308]"
18,0.6,"[293.789473720481, 286.26315795277, 27.1578947440962, 29.0526315813654]"
19,0.63333,"[293.0, 285.0, 27.0, 29.0]"
20,0.66667,"[292.499999943144, 285.277777809365, 26.8333333143813, 28.8888888762542]"
21,0.7,"[291.999999946488, 285.555555585284, 26.6666666488294, 28.7777777658863]"
22,0.73333,"[291.499999949833, 285.833333361204, 26.4999999832776, 28.6666666555184]"
23,0.76667,"[290.999999953177, 286.111111137124, 26.3333333177258, 28.5555555451505]"
24,0.8,"[290.499999956522, 286.388888913044, 26.1666666521739, 28.4444444347826]"
25,0.83333,"[289.999999959866, 286.666666688963, 25.9999999866221, 28.3333333244147]"
26,0.86667,"[289.499999963211, 286.944444464883, 25.8333333210702, 28.2222222140468]"
27,0.9,"[288.999999966555, 287.222222240803, 25.6666666555184, 28.1111111036789]"
28,0.93333,"[288.4999999699, 287.500000016722, 25.4999999899666, 27.999999993311]"
29,0.96667,"[287.999999973244, 287.777777792642, 25.3333333244147, 27.8888888829431]"
30,1.0,"[287.499999976589, 288.055555568562, 25.1666666588629, 27.7777777725753]"
31,1.0333,"[286.999999979933, 288.333333344482, 24.999999993311, 27.6666666622074]"
32,1.0667,"[286.499999983278, 288.611111120401, 24.8333333277592, 27.5555555518395]"
33,1.1,"[285.999999986622, 288.888888896321, 24.6666666622074, 27.4444444414716]"
34,1.1333,"[285.499999989967, 289.166666672241, 24.4999999966555, 27.3333333311037]"
35,1.1667,"[284.999999993311, 289.444444448161, 24.3333333311037, 27.2222222207358]"
36,1.2,"[284.499999996656, 289.72222222408, 24.1666666655518, 27.1111111103679]"
37,1.2333,"[284.0, 290.0, 24.0, 27.0]"
38,1.2667,"[283.599999962542, 289.599999962542, 24.2000000187291, 27.0666666729097]"
39,1.3,"[283.199999965217, 289.199999965217, 24.4000000173913, 27.1333333391304]"
40,1.3333,"[282.799999967893, 288.799999967893, 24.6000000160535, 27.2000000053512]"
