,time,object_1
0,0.0,"[303.0, 274.0, 35.0, 35.0]"
1,0.033333,"[302.90909107438, 273.090910743802, 34.9090910743802, 35.0909089256198]"
2,0.066667,"[302.818181966942, 272.181819669422, 34.8181819669422, 35.1818180330578]"
3,0.1,"[302.727272859504, 271.272728595041, 34.7272728595042, 35.2727271404958]"
4,0.13333,"[302.636363752066, 270.363637520661, 34.6363637520662, 35.3636362479338]"
5,0.16667,"[302.545454644628, 269.454546446281, 34.5454546446281, 35.4545453553719]"
6,0.2,"[302.45454553719, 268.545455371901, 34.4545455371901, 35.5454544628099]"
7,0.23333,"[302.363636429752, 267.636364297521, 34.3636364297521, 35.6363635702479]"
8,0.26667,"[302.272727322314, 266.727273223141, 34.2727273223141, 35.7272726776859]"
9,0.3,"[302.181818214876, 265.81818214876, 34.181818214876, 35.818181785124]"
10,0.33333,"[302.090909107438, 264.90909107438, 34.090909107438, 35.909090892562]"
11,0.36667,"[302.0, 264.0, 34.0, 36.0]"
12,0.4,"[301.888888888889, 263.777777777778, 34.2222222222222, 36.2222222222222]"
13,0.43333,"[301.777777777778, 263.555555555556, 34.4444444444444, 36.4444444444444]"
14,0.46667,"[301.666666666667, 263.333333333333, 34.6666666666667, 36.6666666666667]"
15,0.5,"[301.555555555555, 263.111111111111, 34.8888888888889, 36.8888888888889]"
16,0.53333,"[301.444444444444, 262.888888888889, 35.1111111111111, 37.1111111111111]"
17,0.56667,"[301.333333333333, 262.666666666667, 35.3333333333333, 37.3333333333333]"
18,0.6,"[301.222222222222, 262.444444444444, 35.5555555555556, 37.5555555555556]"
19,0.63333,"[301.111111111111, 262.222222222222, 35.7777777777778, 37.7777777777778]"
20,0.66667,"[301.0, 262.0, 36.0, 38.0]"
21,0.7,"[301.777777777778, 261.222222222222, 35.0, 37.2222222222222]"
22,0.73333,"[302.555555555556, 260.444444444444, 34.0, 36.4444444444444]"
23,0.76667,"[303.333333333333, 259.666666666667, 33.0, 35.6666666666667]"
24,0.8,"[304.111111111111, 258.888888888889, 32.0, 34.8888888888889]"
25,0.83333,"[304.888888888889, 258.111111111111, 31.0, 34.1111111111111]"
26,0.86667,"[305.666666666667, 257.333333333333, 30.0, 33.3333333333333]"
27,0.9,"[306.444444444444, 256.555555555556, 29.0, 32.5555555555556]"
28,0.93333,"[307.222222222222, 255.777777777778, 28.0, 31.7777777777778]"
29,0.96667,"[308.0, 255.0, 27.0, 31.0]"
30,1.0,"[307.799999616, 253.4799970816, 27.4000007679999, 31.1200002303999]"
31,1.0333,"[307.599999632, 251.9599972032, 27.8000007359999, 31.2400002207999]"
32,1.0667,"[307.399999648, 250.4399973248, 28.2000007039999, 31.3600002111999]"
33,1.1,"[307.199999664, 248.9199974464, 28.6000006719999, 31.4800002015999]"
34,1.1333,"[306.99999968, 247.399997568, 29.0000006399999, 31.6000001919999]"
35,1.1667,"[306.799999696, 245.8799976896, 29.4000006079999, 31.7200001823999]"
36,1.2,"[306.599999712, 244.3599978112, 29.8000005759999, 31.8400001727999]"
37,1.2333,"[306.399999728, 242.8399979328, 30.2000005439999, 31.9600001631999]"
38,1.2667,"[306.199999744, 241.3199980544, 30.600000512, 32.0800001535999]"
39,1.3,"[305.99999976, 239.799998176, 31.00000048, 32.2000001439999]"
40,1.3333,"[305.799999776, 238.2799982976, 31.400000448, 32.3200001343999]"
41,1.3667,"[305.599999792, 236.7599984192, 31.800000416, 32.4400001248]"
42,1.4,"[305.399999808, 235.2399985408, 32.200000384, 32.5600001152]"
43,1.4333,"[305.199999824, 233.7199986624, 32.600000352, 32.6800001056]"
44,1.4667,"[304.99999984, 232.199998784, 33.00000032, 32.800000096]"
45,1.5,"[304.799999856, 230.6799989056, 33.400000288, 32.9200000864]"
46,1.5333,"[304.599999872, 229.1599990272, 33.800000256, 33.0400000768]"
47,1.5667,"[304.399999888, 227.6399991488, 34.200000224, 33.1600000672]"
48,1.6,"[304.199999904, 226.1199992704, 34.600000192, 33.2800000576]"
49,1.6333,"[303.99999992, 224.599999392, 35.00000016, 33.400000048]"
50,1.6667,"[303.799999936, 223.0799995136, 35.400000128, 33.5200000384]"
51,1.7,"[303.599999952, 221.5599996352, 35.800000096, 33.6400000288]"
52,1.7333,"[303.399999968, 220.0399997568, 36.200000064, 33.7600000192]"
53,1.7667,"[303.199999984, 218.5199998784, 36.600000032, 33.8800000096]"
54,1.8,"[303.0, 217.0, 37.0, 34.0]"
55,1.8333,"[303.363635702479, 216.090910743802, 36.8181821487604, 34.0]"
56,1.8667,"[303.727272132231, 215.181819669422, 36.6363639338843, 34.0]"
57,1.9,"[304.090908561983, 214.272728595042, 36.4545457190083, 34.0]"
58,1.9333,"[304.454544991735, 213.363637520661, 36.2727275041323, 34.0]"
59,1.9667,"[304.818181421487, 212.454546446281, 36.0909092892562, 34.0]"
60,2.0,"[305.18181785124, 211.545455371901, 35.9090910743802, 34.0]"
61,2.0333,"[305.545454280992, 210.636364297521, 35.7272728595042, 34.0]"
62,2.0667,"[305.909090710744, 209.727273223141, 35.5454546446281, 34.0]"
63,2.1,"[306.272727140496, 208.81818214876, 35.3636364297521, 34.0]"
64,2.1333,"[306.636363570248, 207.90909107438, 35.181818214876, 34.0]"
65,2.1667,"[307.0, 207.0, 35.0, 34.0]"
66,2.2,"[307.111111111111, 205.444444444444, 34.8888888888889, 34.3333333333333]"
67,2.2333,"[307.222222222222, 203.888888888889, 34.7777777777778, 34.6666666666667]"
68,2.2667,"[307.333333333333, 202.333333333333, 34.6666666666667, 35.0]"
69,2.3,"[307.444444444445, 200.777777777778, 34.5555555555556, 35.3333333333333]"
70,2.3333,"[307.555555555556, 199.222222222222, 34.4444444444445, 35.6666666666667]"
71,2.3667,"[307.666666666667, 197.666666666667, 34.3333333333333, 36.0]"
72,2.4,"[307.777777777778, 196.111111111111, 34.2222222222222, 36.3333333333333]"
73,2.4333,"[307.888888888889, 194.555555555556, 34.1111111111111, 36.6666666666667]"
74,2.4667,"[308.0, 193.0, 34.0, 37.0]"
75,2.5,"[308.083333333334, 192.416666666667, 34.0833333333333, 36.75]"
76,2.5333,"[308.166666666667, 191.833333333333, 34.1666666666666, 36.5]"
77,2.5667,"[308.25, 191.25, 34.25, 36.25]"
78,2.6,"[308.333333333333, 190.666666666667, 34.3333333333333, 36.0]"
79,2.6333,"[308.416666666667, 190.083333333333, 34.4166666666667, 35.75]"
80,2.6667,"[308.5, 189.5, 34.5, 35.5]"
81,2.7,"[308.583333333333, 188.916666666667, 34.5833333333333, 35.25]"
82,2.7333,"[308.666666666667, 188.333333333333, 34.6666666666667, 35.0]"
83,2.7667,"[308.75, 187.75, 34.75, 34.75]"
84,2.8,"[308.833333333333, 187.166666666667, 34.8333333333333, 34.5]"
85,2.8333,"[308.916666666667, 186.583333333333, 34.9166666666667, 34.25]"
86,2.8667,"[309.0, 186.0, 35.0, 34.0]"
87,2.9,"[309.454545867769, 184.454544049587, 34.4545449586777, 33.9090908264463]"
88,2.9333,"[309.909091280992, 182.909089644628, 33.90909046281, 33.8181817438017]"
89,2.9667,"[310.363636694215, 181.36363523967, 33.3636359669422, 33.727272661157]"
90,3.0,"[310.818182107438, 179.818180834711, 32.8181814710744, 33.6363635785124]"
91,3.0333,"[311.272727520661, 178.272726429752, 32.2727269752066, 33.5454544958678]"
92,3.0667,"[311.727272933884, 176.727272024793, 31.7272724793389, 33.4545454132231]"
93,3.1,"[312.181818347108, 175.181817619835, 31.1818179834711, 33.3636363305785]"
94,3.1333,"[312.636363760331, 173.636363214876, 30.6363634876033, 33.2727272479339]"
95,3.1667,"[313.090909173554, 172.090908809917, 30.0909089917355, 33.1818181652893]"
96,3.2,"[313.545454586777, 170.545454404959, 29.5454544958678, 33.0909090826446]"
97,3.2333,"[314.0, 169.0, 29.0, 33.0]"
98,3.2667,"[314.0, 168.214284984694, 29.0714286377551, 33.1428572755102]"
99,3.3,"[314.0, 167.428570755102, 29.1428572040816, 33.2857144081632]"
100,3.3333,"[314.0, 166.64285652551, 29.2142857704082, 33.4285715408163]"
101,3.3667,"[314.0, 165.857142295918, 29.2857143367347, 33.5714286734694]"
102,3.4,"[314.0, 165.071428066326, 29.3571429030612, 33.7142858061224]"
103,3.4333,"[314.0, 164.285713836735, 29.4285714693877, 33.8571429387755]"
104,3.4667,"[314.0, 163.499999607143, 29.5000000357143, 34.0000000714286]"
105,3.5,"[314.0, 162.714285377551, 29.5714286020408, 34.1428572040816]"
106,3.5333,"[314.0, 161.928571147959, 29.6428571683673, 34.2857143367347]"
107,3.5667,"[314.0, 161.142856918367, 29.7142857346939, 34.4285714693877]"
108,3.6,"[314.0, 160.357142688775, 29.7857143010204, 34.5714286020408]"
109,3.6333,"[314.0, 159.571428459184, 29.8571428673469, 34.7142857346939]"
110,3.6667,"[314.0, 158.785714229592, 29.9285714336735, 34.8571428673469]"
111,3.7,"[314.0, 158.0, 30.0, 35.0]"
112,3.7333,"[314.153846011834, 156.38461687574, 30.0769230059171, 35.53846104142]"
113,3.7667,"[314.307692177515, 154.769232136095, 30.1538460887574, 36.0769226213017]"
114,3.8,"[314.461538343195, 153.15384739645, 30.2307691715976, 36.6153842011834]"
115,3.8333,"[314.615384508876, 151.538462656805, 30.3076922544379, 37.153845781065]"
116,3.8667,"[314.769230674556, 149.92307791716, 30.3846153372781, 37.6923073609467]"
117,3.9,"[314.923076840237, 148.307693177515, 30.4615384201183, 38.2307689408284]"
118,3.9333,"[315.076923005917, 146.69230843787, 30.5384615029586, 38.76923052071]"
119,3.9667,"[315.230769171598, 145.076923698225, 30.6153845857988, 39.3076921005917]"
120,4.0,"[315.384615337278, 143.46153895858, 30.692307668639, 39.8461536804733]"
121,4.0333,"[315.538461502959, 141.846154218935, 30.7692307514793, 40.384615260355]"
122,4.0667,"[315.692307668639, 140.23076947929, 30.8461538343195, 40.9230768402367]"
123,4.1,"[315.84615383432, 138.615384739645, 30.9230769171598, 41.4615384201183]"
124,4.1333,"[316.0, 137.0, 31.0, 42.0]"
125,4.1667,"[316.0, 135.666666666667, 31.4166666666667, 41.4166666666667]"
126,4.2,"[316.0, 134.333333333333, 31.8333333333334, 40.8333333333334]"
127,4.2333,"[316.0, 133.0, 32.25, 40.25]"
128,4.2667,"[316.0, 131.666666666667, 32.6666666666667, 39.6666666666667]"
129,4.3,"[316.0, 130.333333333333, 33.0833333333333, 39.0833333333333]"
130,4.3333,"[316.0, 129.0, 33.5, 38.5]"
131,4.3667,"[316.0, 127.666666666667, 33.9166666666667, 37.9166666666667]"
132,4.4,"[316.0, 126.333333333333, 34.3333333333333, 37.3333333333333]"
133,4.4333,"[316.0, 125.0, 34.75, 36.75]"
134,4.4667,"[316.0, 123.666666666667, 35.1666666666667, 36.1666666666667]"
135,4.5,"[316.0, 122.333333333333, 35.5833333333333, 35.5833333333333]"
136,4.5333,"[316.0, 121.0, 36.0, 35.0]"
137,4.5667,"[316.083333333334, 120.25, 35.9166666666667, 35.1666666666667]"
138,4.6,"[316.166666666667, 119.5, 35.8333333333334, 35.3333333333334]"
139,4.6333,"[316.25, 118.75, 35.75, 35.5]"
140,4.6667,"[316.333333333333, 118.0, 35.6666666666667, 35.6666666666667]"
141,4.7,"[316.416666666667, 117.25, 35.5833333333333, 35.8333333333333]"
142,4.7333,"[316.5, 116.5, 35.5, 36.0]"
143,4.7667,"[316.583333333333, 115.75, 35.4166666666667, 36.1666666666667]"
144,4.8,"[316.666666666667, 115.0, 35.3333333333333, 36.3333333333333]"
145,4.8333,"[316.75, 114.25, 35.25, 36.5]"
146,4.8667,"[316.833333333333, 113.5, 35.1666666666667, 36.6666666666667]"
147,4.9,"[316.916666666667, 112.75, 35.0833333333333, 36.8333333333333]"
148,4.9333,"[317.0, 112.0, 35.0, 37.0]"
149,4.9667,"[317.090909173553, 110.363634876033, 35.3636366942148, 36.7272724793389]"
150,5.0,"[317.181818256198, 108.72727138843, 35.7272730247934, 36.454545231405]"
151,5.0333,"[317.272727338843, 107.090907900827, 36.0909093553719, 36.1818179834711]"
152,5.0667,"[317.363636421487, 105.454544413223, 36.4545456859504, 35.9090907355372]"
153,5.1,"[317.454545504132, 103.81818092562, 36.8181820165289, 35.6363634876033]"
154,5.1333,"[317.545454586777, 102.181817438017, 37.1818183471074, 35.3636362396694]"
155,5.1667,"[317.636363669421, 100.545453950413, 37.5454546776859, 35.0909089917355]"
156,5.2,"[317.727272752066, 98.90909046281, 37.9090910082645, 34.8181817438017]"
157,5.2333,"[317.818181834711, 97.2727269752066, 38.272727338843, 34.5454544958678]"
158,5.2667,"[317.909090917355, 95.6363634876033, 38.6363636694215, 34.2727272479339]"
159,5.3,"[318.0, 94.0, 39.0, 34.0]"
160,5.3333,"[317.70000027, 91.6000021600002, 39.0, 34.29999973]"
161,5.3667,"[317.40000024, 89.2000019200002, 39.0, 34.59999976]"
162,5.4,"[317.10000021, 86.8000016800002, 39.0, 34.89999979]"
163,5.4333,"[316.80000018, 84.4000014400002, 39.0, 35.19999982]"
164,5.4667,"[316.50000015, 82.0000012000001, 39.0, 35.49999985]"
165,5.5,"[316.20000012, 79.6000009600001, 39.0, 35.79999988]"
166,5.5333,"[315.90000009, 77.2000007200001, 39.0, 36.09999991]"
167,5.5667,"[315.60000006, 74.8000004800001, 39.0, 36.39999994]"
168,5.6,"[315.30000003, 72.40000024, 39.0, 36.69999997]"
169,5.6333,"[315.0, 70.0, 39.0, 37.0]"
170,5.6667,"[314.111111111111, 68.0, 39.2222222222222, 38.2222222222222]"
171,5.7,"[313.222222222222, 66.0, 39.4444444444444, 39.4444444444444]"
172,5.7333,"[312.333333333333, 64.0, 39.6666666666667, 40.6666666666667]"
173,5.7667,"[311.444444444445, 62.0, 39.8888888888889, 41.8888888888889]"
174,5.8,"[310.555555555556, 60.0, 40.1111111111111, 43.1111111111111]"
175,5.8333,"[309.666666666667, 58.0, 40.3333333333333, 44.3333333333333]"
176,5.8667,"[308.777777777778, 56.0, 40.5555555555556, 45.5555555555556]"
177,5.9,"[307.888888888889, 54.0, 40.7777777777778, 46.7777777777778]"
178,5.9333,"[307.0, 52.0, 41.0, 48.0]"
179,5.9667,"[307.166666666667, 51.6666666666667, 40.5, 46.8333333333333]"
180,6.0,"[307.333333333333, 51.3333333333333, 40.0, 45.6666666666667]"
181,6.0333,"[307.5, 51.0, 39.5, 44.5]"
182,6.0667,"[307.666666666667, 50.6666666666667, 39.0, 43.3333333333333]"
183,6.1,"[307.833333333333, 50.3333333333333, 38.5, 42.1666666666667]"
184,6.1333,"[308.0, 50.0, 38.0, 41.0]"
185,6.1667,"[307.714285959184, 49.4285719183674, 37.5714289387756, 40.4285719183674]"
186,6.2,"[307.428571632653, 48.8571432653062, 37.1428574489796, 39.8571432653062]"
187,6.2333,"[307.142857306123, 48.2857146122449, 36.7142859591837, 39.2857146122449]"
188,6.2667,"[306.857142979592, 47.7142859591837, 36.2857144693878, 38.7142859591837]"
189,6.3,"[306.571428653061, 47.1428573061225, 35.8571429795919, 38.1428573061225]"
190,6.3333,"[306.285714326531, 46.5714286530612, 35.4285714897959, 37.5714286530612]"
191,6.3667,"[306.0, 46.0, 35.0, 37.0]"
192,6.4,"[304.9999995, 46.0, 34.4999997500001, 34.4999987500006]"
193,6.4333,"[304.0, 46.0, 34.0, 32.0]"
194,6.4667,"[304.111111111111, 45.2222222222222, 34.1111111111111, 32.5555555555555]"
