,time,object_1
0,0.0,"[260.0, 220.0, 23.0, 24.0]"
1,0.033333,"[261.1599990604, 220.0399999676, 23.0799999352, 24.0]"
2,0.066667,"[262.31999909955, 220.07999996895, 23.1599999379, 24.0]"
3,0.1,"[263.4799991387, 220.1199999703, 23.2399999406, 24.0]"
4,0.13333,"[264.63999917785, 220.15999997165, 23.3199999433, 24.0]"
5,0.16667,"[265.799999217, 220.199999973, 23.399999946, 24.0]"
6,0.2,"[266.95999925615, 220.23999997435, 23.4799999487, 24.0]"
7,0.23333,"[268.1199992953, 220.2799999757, 23.5599999514, 24.0]"
8,0.26667,"[269.27999933445, 220.31999997705, 23.6399999541, 24.0]"
9,0.3,"[270.4399993736, 220.3599999784, 23.7199999568, 24.0]"
10,0.33333,"[271.59999941275, 220.39999997975, 23.7999999595, 24.0]"
11,0.36667,"[272.7599994519, 220.4399999811, 23.8799999622, 24.0]"
12,0.4,"[273.91999949105, 220.47999998245, 23.9599999649, 24.0]"
13,0.43333,"[275.0799995302, 220.5199999838, 24.0399999676, 24.0]"
14,0.46667,"[276.23999956935, 220.55999998515, 24.1199999703, 24.0]"
15,0.5,"[277.3999996085, 220.5999999865, 24.199999973, 24.0]"
16,0.53333,"[278.55999964765, 220.63999998785, 24.2799999757, 24.0]"
17,0.56667,"[279.7199996868, 220.6799999892, 24.3599999784, 24.0]"
18,0.6,"[280.87999972595, 220.71999999055, 24.4399999811, 24.0]"
19,0.63333,"[282.0399997651, 220.7599999919, 24.5199999838, 24.0]"
20,0.66667,"[283.19999980425, 220.79999999325, 24.5999999865, 24.0]"
21,0.7,"[284.3599998434, 220.8399999946, 24.6799999892, 24.0]"
22,0.73333,"[285.51999988255, 220.87999999595, 24.7599999919, 24.0]"
23,0.76667,"[286.6799999217, 220.9199999973, 24.8399999946, 24.0]"
24,0.8,"[287.83999996085, 220.95999999865, 24.9199999973, 24.0]"
25,0.83333,"[289.0, 221.0, 25.0, 24.0]"
26,0.86667,"[290.166666834375, 220.958333327344, 25.1250000179687, 24.0833333453125]"
27,0.9,"[291.33333349375, 220.916666660938, 25.2500000171875, 24.166666678125]"
28,0.93333,"[292.500000153125, 220.874999994531, 25.3750000164062, 24.2500000109375]"
29,0.96667,"[293.6666668125, 220.833333328125, 25.500000015625, 24.33333334375]"
30,1.0,"[294.833333471875, 220.791666661719, 25.6250000148437, 24.4166666765625]"
