,time,object_1
0,0.0,"[264.0, 282.0, 26.0, 25.0]"
1,0.033333,"[263.965517304996, 281.655173049959, 25.9310346099918, 25.0344826950041]"
2,0.066667,"[263.931034544104, 281.310345441032, 25.8620690882064, 25.0689654558968]"
3,0.1,"[263.896551783211, 280.965517832105, 25.793103566421, 25.1034482167895]"
4,0.13333,"[263.862069022318, 280.620690223178, 25.7241380446356, 25.1379309776822]"
5,0.16667,"[263.827586261425, 280.275862614251, 25.6551725228501, 25.1724137385749]"
6,0.2,"[263.793103500533, 279.931035005324, 25.5862070010647, 25.2068964994676]"
7,0.23333,"[263.75862073964, 279.586207396397, 25.5172414792793, 25.2413792603604]"
8,0.26667,"[263.724137978747, 279.241379787469, 25.4482759574939, 25.2758620212531]"
9,0.3,"[263.689655217855, 278.896552178542, 25.3793104357084, 25.3103447821458]"
10,0.33333,"[263.655172456962, 278.551724569615, 25.310344913923, 25.3448275430385]"
11,0.36667,"[263.620689696069, 278.206896960688, 25.2413793921376, 25.3793103039312]"
12,0.4,"[263.586206935176, 277.862069351761, 25.1724138703522, 25.4137930648239]"
13,0.43333,"[263.551724174284, 277.517241742834, 25.1034483485668, 25.4482758257166]"
14,0.46667,"[263.517241413391, 277.172414133907, 25.0344828267813, 25.4827585866093]"
15,0.5,"[263.482758652498, 276.82758652498, 24.9655173049959, 25.517241347502]"
16,0.53333,"[263.448275891605, 276.482758916053, 24.8965517832105, 25.5517241083948]"
17,0.56667,"[263.413793130713, 276.137931307125, 24.8275862614251, 25.5862068692875]"
18,0.6,"[263.37931036982, 275.793103698198, 24.7586207396396, 25.6206896301802]"
19,0.63333,"[263.344827608927, 275.448276089271, 24.6896552178542, 25.6551723910729]"
20,0.66667,"[263.310344848035, 275.103448480344, 24.6206896960688, 25.6896551519656]"
21,0.7,"[263.275862087142, 274.758620871417, 24.5517241742834, 25.7241379128583]"
22,0.73333,"[263.241379326249, 274.41379326249, 24.482758652498, 25.758620673751]"
23,0.76667,"[263.206896565356, 274.068965653563, 24.4137931307125, 25.7931034346437]"
24,0.8,"[263.172413804464, 273.724138044636, 24.3448276089271, 25.8275861955364]"
25,0.83333,"[263.137931043571, 273.379310435708, 24.2758620871417, 25.8620689564292]"
26,0.86667,"[263.103448282678, 273.034482826781, 24.2068965653563, 25.8965517173219]"
27,0.9,"[263.068965521785, 272.689655217854, 24.1379310435708, 25.9310344782146]"
28,0.93333,"[263.034482760893, 272.344827608927, 24.0689655217854, 25.9655172391073]"
29,0.96667,"[263.0, 272.0, 24.0, 26.0]"
30,1.0,"[262.499999964615, 272.041666669616, 24.3333333569231, 26.0416666696154]"
31,1.0333,"[261.999999966154, 272.083333336154, 24.6666666892308, 26.0833333361539]"
32,1.0667,"[261.499999967692, 272.125000002693, 25.0000000215385, 26.1250000026923]"
33,1.1,"[260.999999969231, 272.166666669231, 25.3333333538462, 26.1666666692308]"
34,1.1333,"[260.499999970769, 272.20833333577, 25.6666666861538, 26.2083333357692]"
35,1.1667,"[259.999999972308, 272.250000002308, 26.0000000184615, 26.2500000023077]"
36,1.2,"[259.499999973846, 272.291666668846, 26.3333333507692, 26.2916666688462]"
37,1.2333,"[258.999999975385, 272.333333335385, 26.6666666830769, 26.3333333353846]"
38,1.2667,"[258.499999976923, 272.375000001923, 27.0000000153846, 26.3750000019231]"
39,1.3,"[257.999999978461, 272.416666668462, 27.3333333476923, 26.4166666684615]"
40,1.3333,"[257.49999998, 272.458333335, 27.66666668, 26.458333335]"
41,1.3667,"[256.999999981538, 272.500000001539, 28.0000000123077, 26.5000000015385]"
42,1.4,"[256.499999983077, 272.541666668077, 28.3333333446154, 26.5416666680769]"
43,1.4333,"[255.999999984615, 272.583333334616, 28.6666666769231, 26.5833333346154]"
44,1.4667,"[255.499999986154, 272.625000001154, 29.0000000092308, 26.6250000011539]"
45,1.5,"[254.999999987692, 272.666666667692, 29.3333333415385, 26.6666666676923]"
46,1.5333,"[254.499999989231, 272.708333334231, 29.6666666738462, 26.7083333342308]"
47,1.5667,"[253.999999990769, 272.750000000769, 30.0000000061538, 26.7500000007692]"
48,1.6,"[253.499999992308, 272.791666667308, 30.3333333384615, 26.7916666673077]"
49,1.6333,"[252.999999993846, 272.833333333846, 30.6666666707692, 26.8333333338462]"
50,1.6667,"[252.499999995385, 272.875000000385, 31.0000000030769, 26.8750000003846]"
51,1.7,"[251.999999996923, 272.916666666923, 31.3333333353846, 26.9166666669231]"
52,1.7333,"[251.499999998462, 272.958333333462, 31.6666666676923, 26.9583333334615]"
53,1.7667,"[251.0, 273.0, 32.0, 27.0]"
54,1.8,"[251.0, 272.869565083798, 31.8695650837982, 27.1838438447979]"
55,1.8333,"[251.0, 272.739130307262, 31.7391303072619, 27.3676874927416]"
56,1.8667,"[251.0, 272.608695530726, 31.6086955307256, 27.5515311406854]"
57,1.9,"[251.0, 272.478260754189, 31.4782607541893, 27.7353747886292]"
58,1.9333,"[251.0, 272.347825977653, 31.347825977653, 27.9192184365729]"
59,1.9667,"[251.0, 272.217391201117, 31.2173912011168, 28.1030620845167]"
60,2.0,"[251.0, 272.08695642458, 31.0869564245805, 28.2869057324605]"
61,2.0333,"[251.0, 271.956521648044, 30.9565216480442, 28.4707493804042]"
62,2.0667,"[251.0, 271.826086871508, 30.8260868715079, 28.654593028348]"
63,2.1,"[251.0, 271.695652094972, 30.6956520949716, 28.8384366762918]"
64,2.1333,"[251.0, 271.565217318435, 30.5652173184354, 29.0222803242355]"
65,2.1667,"[251.0, 271.434782541899, 30.4347825418991, 29.2061239721793]"
66,2.2,"[251.0, 271.304347765363, 30.3043477653628, 29.3899676201231]"
67,2.2333,"[251.0, 271.173912988826, 30.1739129888265, 29.5738112680668]"
68,2.2667,"[251.0, 271.04347821229, 30.0434782122902, 29.7576549160106]"
69,2.3,"[251.0, 270.913043435754, 29.913043435754, 29.9414985639544]"
70,2.3333,"[251.0, 270.782608659218, 29.7826086592177, 30.1253422118981]"
