,time,object_1,object_2
0,0.0,"[383.0, 302.0, 311.0, 392.0]","[23.0, 26.0, 31.0, 27.0]"
1,0.033333,"[382.961538535503, 298.14286044898, 311.230768786983, 392.857142122449]","[22.961538535503, 26.0, 30.961538535503, 26.7142859591837]"
2,0.066667,"[382.923076994083, 294.285717040817, 311.461538035504, 393.714285102041]","[22.9230769940829, 26.0, 30.9230769940829, 26.4285716326531]"
3,0.1,"[382.884615452663, 290.428573632653, 311.692307284024, 394.571428081633]","[22.8846154526627, 26.0, 30.8846154526627, 26.1428573061225]"
4,0.13333,"[382.846153911243, 286.57143022449, 311.923076532545, 395.428571061224]","[22.8461539112426, 26.0, 30.8461539112426, 25.8571429795918]"
5,0.16667,"[382.807692369823, 282.714286816327, 312.153845781066, 396.285714040816]","[22.8076923698225, 26.0, 30.8076923698225, 25.5714286530612]"
6,0.2,"[382.769230828403, 278.857143408163, 312.384615029586, 397.142857020408]","[22.7692308284024, 26.0, 30.7692308284024, 25.2857143265306]"
7,0.23333,"[382.730769286983, 275.0, 312.615384278107, 398.0]","[22.7307692869823, 26.0, 30.7307692869823, 25.0]"
8,0.26667,"[382.692307745562, 271.181814710744, 312.846153526628, 398.545455041322]","[22.6923077455621, 25.9090908264463, 30.6923077455621, 24.8181816528926]"
9,0.3,"[382.653846204142, 267.36363323967, 313.076922775148, 399.09090953719]","[22.653846204142, 25.8181817438017, 30.653846204142, 24.6363634876033]"
10,0.33333,"[382.615384662722, 263.545451768595, 313.307692023669, 399.636364033058]","[22.6153846627219, 25.727272661157, 30.6153846627219, 24.4545453223141]"
11,0.36667,"[382.576923121302, 259.727270297521, 313.53846127219, 400.181818528926]","[22.5769231213018, 25.6363635785124, 30.5769231213018, 24.2727271570248]"
12,0.4,"[382.538461579882, 255.909088826446, 313.76923052071, 400.727273024793]","[22.5384615798817, 25.5454544958678, 30.5384615798817, 24.0909089917355]"
13,0.43333,"[382.500000038462, 252.090907355372, 313.999999769231, 401.272727520661]","[22.5000000384616, 25.4545454132231, 30.5000000384616, 23.9090908264463]"
14,0.46667,"[382.461538497042, 248.272725884298, 314.230769017752, 401.818182016529]","[22.4615384970414, 25.3636363305785, 30.4615384970414, 23.727272661157]"
15,0.5,"[382.423076955621, 244.454544413223, 314.461538266272, 402.363636512397]","[22.4230769556213, 25.2727272479339, 30.4230769556213, 23.5454544958678]"
16,0.53333,"[382.384615414201, 240.636362942149, 314.692307514793, 402.909091008264]","[22.3846154142012, 25.1818181652893, 30.3846154142012, 23.3636363305785]"
17,0.56667,"[382.346153872781, 236.818181471074, 314.923076763314, 403.454545504132]","[22.3461538727811, 25.0909090826446, 30.3461538727811, 23.1818181652893]"
18,0.6,"[382.307692331361, 233.0, 315.153846011835, 404.0]","[22.307692331361, 25.0, 30.307692331361, 23.0]"
19,0.63333,"[382.269230789941, 229.090916198348, 315.384615260355, 404.363635702479]","[22.2692307899408, 24.8181821487604, 30.2692307899408, 23.0909089256198]"
20,0.66667,"[382.230769248521, 225.181824578514, 315.615384508876, 404.727272132231]","[22.2307692485207, 24.6363639338843, 30.2307692485207, 23.1818180330578]"
21,0.7,"[382.192307707101, 221.272732958679, 315.846153757397, 405.090908561983]","[22.1923077071006, 24.4545457190083, 30.1923077071006, 23.2727271404958]"
22,0.73333,"[382.153846165681, 217.363641338844, 316.076923005917, 405.454544991735]","[22.1538461656805, 24.2727275041323, 30.1538461656805, 23.3636362479339]"
23,0.76667,"[382.11538462426, 213.454549719009, 316.307692254438, 405.818181421487]","[22.1153846242604, 24.0909092892562, 30.1153846242604, 23.4545453553719]"
24,0.8,"[382.07692308284, 209.545458099174, 316.538461502959, 406.18181785124]","[22.0769230828402, 23.9090910743802, 30.0769230828402, 23.5454544628099]"
25,0.83333,"[382.03846154142, 205.636366479339, 316.769230751479, 406.545454280992]","[22.0384615414201, 23.7272728595042, 30.0384615414201, 23.6363635702479]"
26,0.86667,"[382.0, 201.727274859505, 317.0, 406.909090710744]","[22.0, 23.5454546446281, 30.0, 23.7272726776859]"
27,0.9,"[381.5, 197.81818323967, 317.5, 407.272727140496]","[22.4166666666667, 23.3636364297521, 30.0, 23.818181785124]"
28,0.93333,"[381.0, 193.909091619835, 318.0, 407.636363570248]","[22.8333333333333, 23.181818214876, 30.0, 23.909090892562]"
29,0.96667,"[380.5, 190.0, 318.5, 408.0]","[23.25, 23.0, 30.0, 24.0]"
30,1.0,"[380.0, 186.454542231405, 319.0, 408.545455041322]","[23.6666666666667, 23.1818183471074, 30.0, 24.0]"
31,1.0333,"[379.5, 182.909088008265, 319.5, 409.09090953719]","[24.0833333333333, 23.3636365123967, 30.0, 24.0]"
32,1.0667,"[379.0, 179.363633785124, 320.0, 409.636364033058]","[24.5, 23.5454546776859, 30.0, 24.0]"
33,1.1,"[378.5, 175.818179561984, 320.5, 410.181818528926]","[24.9166666666667, 23.7272728429752, 30.0, 24.0]"
34,1.1333,"[378.0, 172.272725338843, 321.0, 410.727273024793]","[25.3333333333333, 23.9090910082645, 30.0, 24.0]"
35,1.1667,"[377.5, 168.727271115703, 321.5, 411.272727520661]","[25.75, 24.0909091735537, 30.0, 24.0]"
36,1.2,"[377.0, 165.181816892562, 322.0, 411.818182016529]","[26.1666666666667, 24.272727338843, 30.0, 24.0]"
37,1.2333,"[376.5, 161.636362669422, 322.5, 412.363636512397]","[26.5833333333333, 24.4545455041322, 30.0, 24.0]"
38,1.2667,"[376.0, 158.090908446281, 323.0, 412.909091008264]","[27.0, 24.6363636694215, 30.0, 24.0]"
39,1.3,"[374.909089917355, 154.545454223141, 323.909091735537, 413.454545504132]","[27.2727275206611, 24.8181818347107, 29.6363633057852, 24.0]"
40,1.3333,"[373.81818092562, 151.0, 324.818182561983, 414.0]","[27.545454768595, 25.0, 29.2727269752066, 24.0]"
41,1.3667,"[372.727271933884, 147.0000036, 325.72727338843, 415.19999892]","[27.8181820165289, 25.39999964, 28.9090906446281, 23.70000027]"
42,1.4,"[371.636362942149, 143.0000032, 326.636364214876, 416.39999904]","[28.0909092644628, 25.79999968, 28.5454543140496, 23.40000024]"
43,1.4333,"[370.545453950413, 139.0000028, 327.545455041322, 417.59999916]","[28.3636365123967, 26.19999972, 28.1818179834711, 23.10000021]"
44,1.4667,"[369.454544958678, 135.0000024, 328.454545867769, 418.79999928]","[28.6363637603306, 26.59999976, 27.8181816528926, 22.80000018]"
45,1.5,"[368.363635966942, 131.000002, 329.363636694215, 419.9999994]","[28.9090910082645, 26.9999998, 27.4545453223141, 22.50000015]"
46,1.5333,"[367.272726975207, 127.0000016, 330.272727520661, 421.19999952]","[29.1818182561983, 27.39999984, 27.0909089917355, 22.20000012]"
47,1.5667,"[366.181817983471, 123.0000012, 331.181818347107, 422.39999964]","[29.4545455041322, 27.79999988, 26.727272661157, 21.90000009]"
48,1.6,"[365.090908991736, 119.0000008, 332.090909173554, 423.59999976]","[29.7272727520661, 28.19999992, 26.3636363305785, 21.60000006]"
49,1.6333,"[364.0, 115.0000004, 333.0, 424.79999988]","[30.0, 28.59999996, 26.0, 21.30000003]"
50,1.6667,"[363.5, 111.0, 333.75, 426.0]","[29.75, 29.0, 26.1666666666667, 21.0]"
51,1.7,"[363.0, 107.727269752066, 334.5, 426.818182561983]","[29.5, 29.1818183471074, 26.3333333333333, 21.1818183471074]"
52,1.7333,"[362.5, 104.45454277686, 335.25, 427.636364305785]","[29.25, 29.3636365123967, 26.5, 21.3636365123967]"
53,1.7667,"[362.0, 101.181815801653, 336.0, 428.454546049586]","[29.0, 29.5454546776859, 26.6666666666667, 21.5454546776859]"
54,1.8,"[361.5, 97.9090888264465, 336.75, 429.272727793388]","[28.75, 29.7272728429752, 26.8333333333333, 21.7272728429752]"
55,1.8333,"[361.0, 94.6363618512398, 337.5, 430.09090953719]","[28.5, 29.9090910082645, 27.0, 21.9090910082645]"
56,1.8667,"[360.5, 91.3636348760332, 338.25, 430.909091280992]","[28.25, 30.0909091735537, 27.1666666666667, 22.0909091735537]"
57,1.9,"[360.0, 88.0909079008266, 339.0, 431.727273024793]","[28.0, 30.272727338843, 27.3333333333333, 22.272727338843]"
58,1.9333,"[359.5, 84.8181809256199, 339.75, 432.545454768595]","[27.75, 30.4545455041322, 27.5, 22.4545455041322]"
59,1.9667,"[359.0, 81.5454539504133, 340.5, 433.363636512397]","[27.5, 30.6363636694215, 27.6666666666667, 22.6363636694215]"
60,2.0,"[358.5, 78.2727269752066, 341.25, 434.181818256198]","[27.25, 30.8181818347107, 27.8333333333333, 22.8181818347107]"
61,2.0333,"[358.0, 75.0, 342.0, 435.0]","[27.0, 31.0, 28.0, 23.0]"
62,2.0667,"[357.27272661157, 72.2000025200003, 342.818182561984, 435.79999928]","[27.0, 30.4000005400001, 28.0909091735537, 22.70000027]"
63,2.1,"[356.545453950413, 69.4000022400002, 343.636364305785, 436.59999936]","[27.0, 29.8000004800001, 28.1818182561983, 22.40000024]"
64,2.1333,"[355.818181289256, 66.6000019600002, 344.454546049587, 437.39999944]","[27.0, 29.20000042, 28.272727338843, 22.10000021]"
