,time,object_1
0,0.0,"[352.0, 210.0, 21.0, 25.0]"
1,0.033333,"[351.692307964421, 209.84615398221, 21.1538460177897, 25.3846150444741]"
2,0.066667,"[351.384615634053, 209.692307817026, 21.3076921829739, 25.7692304574346]"
3,0.1,"[351.076923303684, 209.538461651842, 21.4615383481581, 26.1538458703951]"
4,0.13333,"[350.769230973316, 209.384615486658, 21.6153845133422, 26.5384612833556]"
5,0.16667,"[350.461538642947, 209.230769321474, 21.7692306785264, 26.9230766963161]"
6,0.2,"[350.153846312579, 209.076923156289, 21.9230768437106, 27.3076921092766]"
7,0.23333,"[349.84615398221, 208.923076991105, 22.0769230088948, 27.6923075222371]"
8,0.26667,"[349.538461651842, 208.769230825921, 22.230769174079, 28.0769229351976]"
9,0.3,"[349.230769321474, 208.615384660737, 22.3846153392632, 28.461538348158]"
10,0.33333,"[348.923076991105, 208.461538495553, 22.5384615044474, 28.8461537611185]"
11,0.36667,"[348.615384660737, 208.307692330368, 22.6923076696316, 29.230769174079]"
12,0.4,"[348.307692330368, 208.153846165184, 22.8461538348158, 29.6153845870395]"
13,0.43333,"[348.0, 208.0, 23.0, 30.0]"
14,0.46667,"[347.349999342662, 208.500000505645, 23.2500002528226, 29.7499997471774]"
15,0.5,"[346.699999377259, 209.000000479032, 23.5000002395161, 29.4999997604839]"
16,0.53333,"[346.049999411855, 209.500000452419, 23.7500002262097, 29.2499997737903]"
17,0.56667,"[345.399999446452, 210.000000425806, 24.0000002129032, 28.9999997870968]"
18,0.6,"[344.749999481049, 210.500000399193, 24.2500001995968, 28.7499998004032]"
19,0.63333,"[344.099999515646, 211.000000372581, 24.5000001862903, 28.4999998137097]"
20,0.66667,"[343.449999550242, 211.500000345968, 24.7500001729839, 28.2499998270161]"
21,0.7,"[342.799999584839, 212.000000319355, 25.0000001596774, 27.9999998403226]"
22,0.73333,"[342.149999619436, 212.500000292742, 25.250000146371, 27.749999853629]"
23,0.76667,"[341.499999654033, 213.000000266129, 25.5000001330645, 27.4999998669355]"
24,0.8,"[340.849999688629, 213.500000239516, 25.7500001197581, 27.2499998802419]"
25,0.83333,"[340.199999723226, 214.000000212903, 26.0000001064516, 26.9999998935484]"
26,0.86667,"[339.549999757823, 214.50000018629, 26.2500000931452, 26.7499999068548]"
27,0.9,"[338.89999979242, 215.000000159677, 26.5000000798387, 26.4999999201613]"
28,0.93333,"[338.249999827016, 215.500000133064, 26.7500000665323, 26.2499999334677]"
29,0.96667,"[337.599999861613, 216.000000106452, 27.0000000532258, 25.9999999467742]"
30,1.0,"[336.94999989621, 216.500000079839, 27.2500000399194, 25.7499999600806]"
31,1.0333,"[336.299999930807, 217.000000053226, 27.5000000266129, 25.4999999733871]"
32,1.0667,"[335.649999965403, 217.500000026613, 27.7500000133065, 25.2499999866935]"
33,1.1,"[335.0, 218.0, 28.0, 25.0]"
34,1.1333,"[334.250001379032, 218.449999172581, 27.900000183871, 25.0499999080645]"
35,1.1667,"[333.500001306451, 218.899999216129, 27.8000001741935, 25.0999999129032]"
36,1.2,"[332.750001233871, 219.349999259677, 27.7000001645161, 25.1499999177419]"
37,1.2333,"[332.00000116129, 219.799999303226, 27.6000001548387, 25.1999999225806]"
38,1.2667,"[331.250001088709, 220.249999346774, 27.5000001451613, 25.2499999274193]"
39,1.3,"[330.500001016129, 220.699999390323, 27.4000001354839, 25.299999932258]"
40,1.3333,"[329.750000943548, 221.149999433871, 27.3000001258065, 25.3499999370968]"
41,1.3667,"[329.000000870968, 221.599999477419, 27.200000116129, 25.3999999419355]"
42,1.4,"[328.250000798387, 222.049999520968, 27.1000001064516, 25.4499999467742]"
43,1.4333,"[327.500000725806, 222.499999564516, 27.0000000967742, 25.4999999516129]"
44,1.4667,"[326.750000653226, 222.949999608065, 26.9000000870968, 25.5499999564516]"
45,1.5,"[326.000000580645, 223.399999651613, 26.8000000774194, 25.5999999612903]"
46,1.5333,"[325.250000508064, 223.849999695161, 26.7000000677419, 25.649999966129]"
47,1.5667,"[324.500000435484, 224.29999973871, 26.6000000580645, 25.6999999709677]"
48,1.6,"[323.750000362903, 224.749999782258, 26.5000000483871, 25.7499999758064]"
49,1.6333,"[323.000000290323, 225.199999825806, 26.4000000387097, 25.7999999806452]"
50,1.6667,"[322.250000217742, 225.649999869355, 26.3000000290323, 25.8499999854839]"
51,1.7,"[321.500000145161, 226.099999912903, 26.2000000193548, 25.8999999903226]"
52,1.7333,"[320.750000072581, 226.549999956452, 26.1000000096774, 25.9499999951613]"
53,1.7667,"[320.0, 227.0, 26.0, 26.0]"
54,1.8,"[319.24999855746, 227.125000240423, 25.7499995191533, 25.9374998797883]"
55,1.8333,"[318.499998653629, 227.250000224395, 25.4999995512097, 25.8749998878024]"
56,1.8667,"[317.749998749799, 227.375000208367, 25.2499995832662, 25.8124998958165]"
57,1.9,"[316.999998845968, 227.500000192339, 24.9999996153226, 25.7499999038307]"
58,1.9333,"[316.249998942137, 227.62500017631, 24.7499996473791, 25.6874999118448]"
59,1.9667,"[315.499999038307, 227.750000160282, 24.4999996794355, 25.6249999198589]"
60,2.0,"[314.749999134476, 227.875000144254, 24.249999711492, 25.562499927873]"
61,2.0333,"[313.999999230645, 228.000000128226, 23.9999997435484, 25.4999999358871]"
62,2.0667,"[313.249999326815, 228.125000112198, 23.7499997756049, 25.4374999439012]"
63,2.1,"[312.499999422984, 228.250000096169, 23.4999998076613, 25.3749999519153]"
